,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18609071,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Operator,NA,NA,False,True,False,"Good day, ladies and gentlemen, and welcome to the InfoSpace conference call. My name is Deana and I will be the operator for today. At this timeall participants are in a listen-only mode. After the presentation, we will open the lines to answer the questions that you may have. As a remindertoday, the conference is being recorded. (Operator Instructions). I would now like to turn the conference over to your host for today, Ms. Stacy Ybarra, Senior Investor Relations. Please proceed."
1,18609071,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Stacy Ybarra,InfoSpace,"Senior Director, IR",False,True,False,"Good morning.Welcome to InfoSpace's investor conference call and thanks for joining us on such short notice to discuss the exciting announcementour Company made this morning, the acquisition of TaxACT. A press release announcing the transaction was issued earlier today and can beaccessed to the investor relations section of our website. There's also a slide presentation with additional details regarding the transaction whichis available for download on our website. On the call today are a Bill Ruckelshaus, InfoSpace President and Chief Executive Officer, and Eric Emans, InfoSpace Chief Financial Officer. Before we begin, I would like to remind you that during the course of this call InfoSpace representatives will make forward-looking statementsincluding but not limited to statements regarding InfoSpace expectations about its products and services, outlooks for future of our business andgrowth initiatives and acquisition strategy. Our statements that refer to our beliefs, plans, expectations or intentions which may be made in response to questions are also forward-lookingstatements for purposes of the Safe Harbor provided by the Private Securities Ligitation Reform Act. Because these statements pertain to futureevents, they are subject to various risks and uncertainties and actual results could differ materially from our current expectations and beliefs. Factors that could cause or contribute to such differences include but are not limited to the risks and factors discussed in InfoSpace's most recentquarterly report on Form 10-Q on file with the Securities and Exchange Commission. InfoSpace assumes no obligation to update any forward-lookingstatements which speak only as of the date the statement is made. After the prepared remarks, we will open up the call for questions. Now I will turn the call over to Bill."
2,18609071,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Bill Ruckelshaus,InfoSpace,President and CEO,False,True,False,"Thank you, Stacy, and good morning, everyone. I'm pleased to announce that we have entered into an agreement to acquire TaxACT, a leadingprovider of online tax solutions.The purpose of today's call is to introduce TaxACT, briefly discuss their market opportunity and favorable positioningand highlight why we believe this is an attractive opportunity for shareholders. I'll start by reviewing our summary messages regarding this transaction. Our CFO, Eric Emans, will then cover some of the key financial aspects ofthe deal. I will provide a few closing remarks and then we will open the call for your questions. T he TaxACT leadership team is not on the call today given the demands of peak tax season but I look forward to introducing TaxACT President,JoAnn Kintzel, at a later date to discuss her business in more detail. Before I get into any specifics, I want to underscore that this is a significant milestone for our Company. As many of you know, capital allocationhas been a key focus of ours for some time. During my 13 months as CEO, our team has evaluated numerous acquisition opportunities and wefound an outstanding business in TaxACT with a strong consumer brand and a growing market run by a fantastic team with an excellent trackrecord of execution and financial performance. This transaction aligns with our capital deployment objectives and positions us well going forward. I couldn't be more enthusiastic about theopportunities this combination will create for our shareholders, for the TaxACT team, and for InfoSpace employees. Let me quickly review some of the key highlights. Under the terms of the agreement we are acquiring TaxACT for $287.5 million in cash. Thisrepresents approximately 7.6 times trailing adjusted EBITDA. TaxACT has an impressive financial profile. As Eric will discuss in more detail, the transaction represents an attractive return on shareholder capital.We are anticipating debt financing in connection with this acquisition and following close, we expect to have an excess of $90 million in cash andequivalents on hand. The transaction should close in the first quarter following the satisfaction of customary closing conditions and regulatoryapprovals. The benefits of this combination both from a business and financial perspective are compelling and clear. First,TaxACT operates in a strong marketin the early stages of a digital transition, not unlike digital migrations underway in other consumer markets, travel, brokerage, banking, real estateand shopping, to name a few. The travel industry, for example, was one of the earliest to go online thanks to the widespread adoption of eTickets.Today the vast majority of airline tickets are sold online through agencies and supplier websites. Similar shifts are underway in tax preparation where government adoption and consumer behavior are driving online growth. Since 2000, the USgovernment has expanded access to electronic filing and faster refunds. IRS e-File has grown at double-digit annual rates from tax year 2000 totax year 2010. On the consumer side, filers are moving online as familiarity sets in, security concerns abate, and enhanced product offerings make it easier andquicker to do your taxes online than alternative methods of preparation. Second, we like the TaxACT competitive position. They have an established brand and a well-earned reputation for delivering value to consumersover the years. Third, TaxACT has a successful track record of great execution driven by a top-flight management team with decades of experience providingconsumer tax preparation solutions. And finally, the pro forma financial profile is compelling and offers strong and near-term return on shareholdercapital. Now I'd like to spend a few minutes discussing the strategic rationale in more detail.The tax preparation market is large and undergoing a long-termsecular shift toward online, do-it-yourself preparation. Computer aided do-it-yourself tax preparation is supplementing paper and pencil as well     The company has an expanding presence in social channels online and a mobile offering that now enables its consumers to extend their relationshipwith the brand wherever they go. We have been impressed with the company's overall marketing capabilities and knowhow at TaxACT and lookforward to underwriting their team and investments in this area going forward. TaxACT financial performance largely speaks for itself. It is a testament to the team that they have accomplished so much while maintaining profitdisciplines and preserving capacity for further investment.We look forward to working with the management team at TaxACT to evaluate for areasfor future investment and opportunistic expansion. In addition to TaxACT being a great business, I also believe this transaction represents compelling return on capital to our shareholders. I would now like to turn the call over to Eric Emans to discuss the key financial benefits of the acquisition. Eric?"
3,18609071,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Eric Emans,InfoSpace,CFO,False,True,False,"Thanks, Bill. Let's start by taking a look at what this transaction represents in terms of return on shareholder capital. To illustrate, TaxACT leveredfree cash flow for the 12 months ending September 30, 2011 was $32.2 million. Factoring the $200 million cash investment, the return on equityis approximately 16% for the transaction, (technical difficulty) transaction that contemplates modest leverage. We project return on equity will grow in 2012 and beyond. It is worth noting the cash tax savings from the utilization of InfoSpace's NOL significantlyimproves the return on equity by approximately 50% on a pro forma basis. Now let's take a look at the pro forma financial profile of the combined companies. As Bill mentioned, the acquisition is immediately accretive to earnings per share. For the 12 months ending September 30, 2011,TaxACT generatedrevenues of $78.1 million and adjusted EBITDA of $37.8 million. On a pro forma basis,TaxACT's non-GAAP net income for the 12 months ending September 30, 2011 was $31.8 million, or $0.85 per diluted InfoSpaceshare, which includes a reduction for imputed interest expense related to the debt financing, the $4.5 million or $0.12 per diluted InfoSpace share. As a reminder, non-GAAP net income excludes non-cash income tax expense related to our expected utilization of our NOL's which providesenhanced value to InfoSpace shareholders. Shifting to the combined results, for the 12 months ending September 30, 2011, the combined entity would have generated pro forma revenueof $290 million, pro forma adjusted EBITDA of $72.5 million and pro forma non-GAAP net income of $45.6 million or $1.21 per diluted share. Finally, TaxACT generates substantial free cash flow and following the completion of the transaction, we will maintain a strong balance sheet withcash in excess of $90 million that will afford us the opportunity to invest in the future. Now I'll turn the call over to Bill for closing remarks."
4,18609071,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Bill Ruckelshaus,InfoSpace,President and CEO,False,True,False,"Thanks, Eric. So to sum it up, we are excited about this next step in the evolution of our Company. Our search business is operating well and exits2011 with a lot of momentum. With TaxACT, we have added a great business and team to the mix confronting a growing market with a leadingproduct and a strong following. This transaction represents attractive return for our shareholders and the combined company is well positioned for future growth, investment andvalue creation.     Thanks for joining us this morning and we have a limited time set aside now to address any questions from the group. With that, I will open it upto your questions."
5,18609071,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Operator,NA,NA,True,False,False,"(Operator Instructions). Clay Moran, Benchmark."
6,18609071,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Clay Moran,The Benchmark Company,Analyst,True,False,False,"Good morning. A couple of things. Could you talk a little bit about the competitive landscape where TaxACT fits in, what the barriers to entry are?And seems like TaxSlayer may be somewhat new to the market, what do they represent in terms of a competitive threat? Secondly, just any change to management that is considered at this point -- TaxACT management, are they all staying on and what's their incentiveto stay?"
7,18609071,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Bill Ruckelshaus,InfoSpace,President and CEO,True,False,False,"Yes, thanks, Clay. So the tax preparation market is -- consists of established providers, names you have heard of over time, H&R Block, and otheroff-line typically historically off-line paid professionals who prepare.The market is roughly 60% today on the side of professionals and paid preparersand then about 40% what's called do-it-yourself, which historically has been pen and paper, more recently has been desktop software and evenmore recently has been online. And the dynamics are not unlike dynamics, Clay, as I mentioned in my comments, that you see in other consumer segments where just online isan easier way to do it. And there are some hurdles you've got to get over as it relates to the perceived complexities of tax preparation and someof the consumer inhibitions around using an online service to do something like tax preparation. But nevertheless, that shift is underway. It's one that we recognize from other consumer verticals. The competitive landscape as it relates to the do-it-yourself includes Intuit, which is a large and respected player in the space H&R Block is alsoonline with an online solution TaxACT is a leader as we have talked about. You mentioned TaxSlayer, there's a couple of other players that wouldI think probably properly be put in the value segment within the online landscape. And I would say the barriers to entry principally, Clay, are really around the product and the domain expertise of providing consumers with an easyway to do their taxes in an online format. That is -- as simple as that may seem to say, it's a very sophisticated offering and capability that TaxACThas developed over a decade and prior to that at a different company. And the translation of what can be a rather complicated and confusing set of rules and procedures as they might apply to an individual as theyprogress through life, translating that into an interview style product offering that gets people comfortable with doing such an important thingonline is actually a nontrivial thing and really deeply resides in product and understanding of the tax code and translating that into somethingfrom a consumer interface standpoint that is intuitive and comfortable. So it really is just I think it has a lot to do with domain expertise, which is not uncommon for an industry like this."
8,18609071,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Clay Moran,The Benchmark Company,Analyst,True,False,False,One follow up there before you move on to the management. Any plans at all to alter the strategy and/or just enhance the marketing given thatInfoSpace is traditionally an online marketing Company? Are there any tweaks to what they're doing that you feel you can help the current situation?
9,18609071,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Bill Ruckelshaus,InfoSpace,President and CEO,True,False,False,"Well, certainly we are optimistic that we can help and enable what the TaxACT team is doing.We really do like the strategy they have been pursuing.I would say from a fit standpoint it lines up very well. We see a lot of cultural alignment between our two companies at the core. We really do feellike there is the beginnings of a great relationship with the team in Cedar Rapids. So I would say that is probably one of the best combination effectsright off the bat. The second is we are both online companies and that's just through the DNA of both companies knowing what it means to own and operate awebsite, the importance of keeping that website up to date, the importance of uptime and reliability, the importance of security, all the aspectsaround being an online presence. And then the aspects with respect to product development and consumer marketing -- and I know you mentioned marketing in particularly, thoseare two fundamental undertakings of the company of TaxACT that we think they're quite good at. We have been impressed by them in both ofthose realms and to the extent that we can help, we're absolutely prepared to do that and do so in a collaborative way. And as you can probably guess from the trended results of the company, the good news is that there's nothing broken at the moment so they'rehumming along and we have lots of discussions under way as to how we can help them. I think, Clay, you had also asked a question about retention. And so the management team is sticking around, we have discussed roles with theteam there that are unaltered. As I had mentioned in my introductory remarks, the team was one of the real attractive points for us in pursuing thiscombination. So we have as you might imagine, discussions and resolution as it relates to roles and responsibilities after this transaction."
