,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Operator,NA,NA,False,True,False,"(Operator Instructions) Martin Englert, Jefferies & Co."
1,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Martin Englert,Jefferies & Co,Analyst,False,True,False,"Good afternoon, everyone."
2,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,John McConnell,Worthington Industries,Chairman and Chief Executive Officer,False,True,False,Hello.
3,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Martin Englert,Jefferies & Co,Analyst,False,True,False,"For Angus Industries can you provide D&A figures for 2011 and where you would expect that going forward? Also, in addition tothat, where has its historical revenue been and EBITDA margins throughout the peak trough and kind of average throughout thecycle?"
4,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Andy Rose,Worthington Industries,VP and Chief Financial Officer,False,True,False,"Two -- well the first question, the historical D&A, or the go-forward D&A isn't finalized yet, because we haven't completed the purchaseprice allocation, but a good benchmark is probably $8.5 million to $9.5 million. The second question -- in terms of their margins through the cycle-- it is a high variable cost business, and they've done a terrificjob, actually, through the cycle at maintaining margins. In fact, I think if you look back over the past several years, they've maintaineddouble-digit margins."
5,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Martin Englert,Jefferies & Co,Analyst,False,True,False,"Okay. Would that be within a low double-digit range? Like, 10%, 12%?"
6,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Andy Rose,Worthington Industries,VP and Chief Financial Officer,False,True,False,"Yes, that would be the trough."
7,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Martin Englert,Jefferies & Co,Analyst,False,True,False,"what would be a good range for the peak? 15%, 17%?"
8,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Andy Rose,Worthington Industries,VP and Chief Financial Officer,False,True,False,I would say the low end of that range.
9,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Martin Englert,Jefferies & Co,Analyst,False,True,False,"Okay. And if I could, one other question. Can you provide an update on your European cylinders business? How that contributed toearnings through the past quarter here, and where you see the activity and volumes trending in upcoming quarters here goingforward?"
10,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Andy Rose,Worthington Industries,VP and Chief Financial Officer,False,True,False,"Yes. The European cylinder business continues to recover both volumes and earnings. It is nowhere near back where it was duringthe peak, which is probably four-ish years ago in terms of its earnings, but the recovery does continue in that business."
11,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Martin Englert,Jefferies & Co,Analyst,False,True,False,"Okay. And for -- within that segment, for restructuring charges, could we expect additional ones going forward in upcoming quartershere?"
12,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Andy Rose,Worthington Industries,VP and Chief Financial Officer,False,True,False,"I'm sorry, for the cylinder segment?"
13,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Martin Englert,Jefferies & Co,Analyst,False,True,False,"Yes, Sir."
14,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Andy Rose,Worthington Industries,VP and Chief Financial Officer,False,True,False,There will likely be some restructuring charges. You may recall we have started the transformation process there our Centers ofExcellence teams have been through one facility.They are just kicking off the second facility. Charges related -- most of the restructuringcharges to date have been for outside consulting that we brought in. Those charges will be declining starting this quarter.
15,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Martin Englert,Jefferies & Co,Analyst,False,True,False,"Okay, thanks for all the color."
16,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Andy Rose,Worthington Industries,VP and Chief Financial Officer,False,True,False,"But there could be some -- I would call it nominal restructuring as we move through the facilities, but I wouldn't anticipate largedollars there."
17,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Martin Englert,Jefferies & Co,Analyst,False,True,False,"Excellent, thank you."
18,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Operator,NA,NA,False,True,False,"Nate Carruthers, Steel Market Intelligence."
19,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Nate Carruthers,Steel Market Intelligence,Analyst,False,True,False,Hi guys. Great quarter. I had -- I guess I had a question about your Other segment. It sounds like you said that upfront investmentsright now are hurting earnings there. How long do you expect that to continue? And can you elaborate a little bit on the opportunitiesthat you're pursuing there?
20,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,John McConnell,Worthington Industries,Chairman and Chief Executive Officer,False,True,False,"Nate -- and thank you for your earlier comment. Think of the investment is really -- as you know, we've done a project abroad inMozambique very successfully, and we had this operating in North America prior to moving to international. So this is really keepingin place the infrastructure that allows us to do the engineering, to do the work that puts us in position to do these projects. We have, as Andy said, some very large opportunities, significantly larger than Mozambique, that will be difficult to put a timeframeon them.They are government-involved, as was Mozambique, and so we'll see how they come to fruition. If they start to lose traction,whatever timeframe that is, and I would suspect we'll know this someplace in a six to nine-month period, probably sooner, but I'mnot sure. Then we will have to make some judgments. But until then, as long as these opportunities appear like they're going to gettraction, it is worthwhile leaving the infrastructure in place so that we're able to do the work."
21,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Nate Carruthers,Steel Market Intelligence,Analyst,False,True,False,"Okay, thank you."
22,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Operator,NA,NA,False,True,False,"Chris Olin, Cleveland Research."
23,18590877,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Chris Olin,Cleveland Research Company,Analyst,False,True,False,"Good afternoon, guys. First I wanted to ask a little bit on automotive. I think you guys have a pretty good view on what's going onthere. It seems like the sentiment is getting a little bit better across the channel. I'm just wondering what you guys are seeing? I guessif you could talk a little bit more specifically, going into the next couple of months?."
