,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Operator,NA,NA,False,True,False,"Welcome to the SilverBirch Energy conference call. At this time, all participants are in a listen-only mode. Following the presentation, we will conducta question-and-answer session. Instructions will be provided at that time for you to queue up for questions. (Operator Instructions) The Company may make forward-looking statements during this call. These statements are based on SilverBirch's expectations and are subject toa variety of risks and uncertainties and other factors which are inherent in a pre-development stage oil sands mining and extraction enterprise thatcould materially affect SilverBirch's results. No representations can be, or is being made, with respect to the accuracy of projections or the abilityof SilverBirch to achieve the projected results. The Company assumes no obligation to update any forward-looking statements. I would like toremind everyone that this conference call and webcast is being recorded on Monday, January 9, 2012, 7 AM Mountain Time and will be availablefor playback on the Company's website. I will now turn the conference over to Mr. Michael Stevens, Head of Investor Relations. Please go ahead."
1,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Michael Stevens,SilverBirch Energy Corporation,Manager,False,True,False,"Good morning, everyone, and thank you all for joining the call today. I am Michael Stevens, SilverBirch's Manager of Finance and Investor Relations.Howard Lutley, President and Chief Executive Officer of SilverBirch Energy, will lead the call this morning and he will begin with some preparedremarks. Also present in today's call is Wayne Bobye, Vice President and Chief Financial Officer, and Jina Abells Morissette, Vice President of Legaland Administration. For today's conference call webcast, we will discuss the details of the announced agreement for Teck Resources Limited toacquire SilverBirch Energy by way of a plan of arrangement and the creation of SilverWillow Energy Corporation, a new corporation focusing onin situ oil sands opportunities. With that, I'll now turn the call over to Howard Lutley."
2,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",False,True,False,"Thanks, Mike.Welcome, everybody, and thank you for joining us this morning.We're very pleased to tell you about our transaction and the formationof our new Company, SilverWillow Energy. Before I start, I want to acknowledge the tremendous efforts and work done by our team here in Calgaryand Teck's teams in Vancouver and Calgary as well as the numerous advisors that have assisted us in putting this deal together over the Christmas     approved this plan and recommend that SilverBirch shareholders vote in favor of it. So I'll finish my prepared comments at this point, and turn itback to Mike and the Operator for the next step."
3,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Michael Stevens,SilverBirch Energy Corporation,Manager,False,True,False,"Thank you, Howard. I would now like to open the floor for the question-and-answer session and ask the Operator to come back on to explain howwe will proceed."
4,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Operator,NA,NA,True,False,False,"Thank you, Mr. Stevens. Ladies and gentlemen, we will now conduct the question-and-answer session. (Operator Instructions) Sachin Shah withTullett Prebon."
5,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Sachin Shah,Tullett Prebon,Analyst,True,False,False,"Hi, good morning thanks for taking my question. I just wanted to go over the regulatory approvals. I did see that you're expecting this deal to closekind of mid April, so just was wondering if you could go over that timeline? I did see here that you got some shareholders to support this transaction,so maybe if you could just talk about the background and how you came to this transaction? I missed the first part of the call, so I apologize if youdiscussed this already."
6,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",True,False,False,"Okay. Yes, there's 39% of the shareholders, well that's basically Management's and the two major shareholders have already locked up to the deal.As far as how the deal came together, I'm not quite sure on your question, but I'm assuming -- are you talking about timeline or --"
7,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Sachin Shah,Tullett Prebon,Analyst,True,False,False,"Yes, so when I say deal came together like were you talking to other parties, was this an auction process, did Teck approach you, I just want tounderstand was this is solely one-off situation with Teck our did the Company solicit other offers and this was the kind of best situation for SilverBirchshareholders as well as Teck shareholders kind of a situation?"
8,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",True,False,False,"Okay, I understand that. Actually no, we've been through a long strategic process almost, actually we are pretty well 12 months now. Once SilverBirchwas formed October 2010, we basically got up and running, got settled in. And then starting in January 2011, we formed an informal strategicworking group of some of the members of the Board with also our financial advisors joined the team as well. And we basically look at the strategicoptions for the Company, understanding the assets that we had. Now of course at that time, we didn't have any results from our Audet drillingprogram, so we didn't know the scale of the opportunity. So during the first sort of three or four months of that strategic process, we were assessingour assets and then getting to understand what we had on the Audet property. So by sort of mid-year, we had some additional information.We had a pretty good understanding of the scale of the opportunity at Audet.We alsohad completion of the design basis memorandum, we had the resource update from Frontier and Equinox. And probably the key factor was in endof June, we had the revised capital cost estimates for the Frontier and Equinox projects. So again, with those bits of information, we were able to     get a pretty good handle on the potential economics of Frontier and Equinox as well as what the capital quantum that would be required fromSilverBirch to stay in the project at 50/50. Now of course all along we had always said at SilverBirch that at some point we would look at our options for how great our participation in theproject would be, in the Frontier and Equinox project, and that we'd be quite open to constructive ways to reduce our interest as long as it createdvalue for the shareholders. Now the financial advisors also conducted a confidential low-key process of contacting potential participants who mightbe willing to either participate with us, buy our share, any number of the normal kind of things you would consider and that was quite extensive,it was international, but it wasn't a public process. At the same time, commencing in about the mid-summer, we also started negotiations with Teck on our partnership agreement. And that hadbeen a long-standing commitment between both ourselves and Teck, was to form a partnership and properly paper it with a partnership agreement.Through that process, we had to examine value, both parties examine value, and we are looking at ways to make a good agreement, having learneda lot from our participation also with Teck in the Fort Hills agreement and recognizing that there were a few things in that agreement that hadn'tworked well for a junior partner, particularly during a financial crisis. So we wanted to come up with a similar partnership agreement but something that provided flexibility for the smaller Company, i.e. SilverBirch.And we work hard with Teck to put that kind of agreement together, and actually had something that we could put in front of our Boards, andultimately then just two days before Christmas, Teck came back with the offer that we're looking at now rather than proceed with the partnershipapproach. So really it was quite a long process, talked to either ourselves or our partners, talked to a lot of different parties over that interveningperiod and finally came to what we believe now is the offer we have in front-- a good offer that we have in front of us now."
9,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Sachin Shah,Tullett Prebon,Analyst,True,False,False,"Okay, perfect. And then just as a kind of what regulatory approvals and then kind of a potential timeline between now and kind of mid-April, I thinkthat's when you're expecting the deal to close on or before mid-April?"
10,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",True,False,False,"Yes. I'll answer the one I know, Jina, our Legal Counsel, is here as well, so she can fill in. But there's competition acts, is that the --"
11,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Jina Abells Morissette,SilverBirch Energy Corporation,VP,True,False,False,"That's the only one, yes."
12,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",True,False,False,That's the only one.
13,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Jina Abells Morissette,SilverBirch Energy Corporation,VP,True,False,False,"And then it's a plan of arrangement, so we'll have to get the court order and take all of those steps. So I mean you know how it works once we mailthe circular the clock starts ticking, but because we are starting SilverWillow, the circular will have a lot of information in it about the new Company,so that will take some time. So we're still aiming sort of for that end of March/early April closing timeframe."
14,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Sachin Shah,Tullett Prebon,Analyst,True,False,False,"Okay. And as far as regulatory approval on competition Canada, you're-- I mean this it seems pretty much not an issue, but is that the case, as aconfirmation?"
15,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Jina Abells Morissette,SilverBirch Energy Corporation,VP,True,False,False,"We wouldn't be so presumptuous to speculate on that, however, we don't foresee any issue there."
16,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Sachin Shah,Tullett Prebon,Analyst,True,False,False,"Okay, all right. So it's no issue, you're going to go through the process, ultimately they'll make the decision?"
17,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Jina Abells Morissette,SilverBirch Energy Corporation,VP,True,False,False,Right.
18,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Sachin Shah,Tullett Prebon,Analyst,True,False,False,"Okay, fair enough. Thank you."
19,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",True,False,False,Thank you.
20,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Operator,NA,NA,True,False,False,Mark Friesen with RBC Capital Markets.
21,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Mark Friesen,RBC Capital Markets,Analyst,True,False,False,"Thank you, good morning. I just have two questions for you Howard. First of all, is there any follow up lockup to shareholders post closing of thistransaction?"
22,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",True,False,False,I will ask Jina to answer that one.
23,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Jina Abells Morissette,SilverBirch Energy Corporation,VP,True,False,False,Sorry Mark do you mean about additional shareholders locking up?
24,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Mark Friesen,RBC Capital Markets,Analyst,True,False,False,"No, I mean following closing so once SilverWillow begins trading or--"
25,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Jina Abells Morissette,SilverBirch Energy Corporation,VP,True,False,False,"No, it doesn't carry on into SilverWillow."
26,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Mark Friesen,RBC Capital Markets,Analyst,True,False,False,"Okay, so-- all right. So second question, perhaps explain the context of why or how Twin Lakes became part of the 100% Teck lands?"
27,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",True,False,False,"Yes, the-- it was really just a negotiation. We weren't-- we as SilverBirch didn't feel strongly about keeping Twin Lakes, our view on the geologicalpotential, is that it's probably limited but obviously that is SilverBirch's view and that's only subject to the limited drilling that has been done todate. Teck was interested in keeping Twin Lakes, so it was easy for us to make that swap of those lands."
28,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Mark Friesen,RBC Capital Markets,Analyst,True,False,False,Sure. Is that a read through that that's possibly a mining opportunity?
29,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",True,False,False,"It's-- no I wouldn't say it is or and it isn't a mining opportunity, but it's certainly if there is going to be oil sand there, it would be at depths that wouldbe more likely a mineable prospect that an in situ prospect just because of the depth of the geology in that area."
30,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Mark Friesen,RBC Capital Markets,Analyst,True,False,False,"Sure, okay. And finally if you could give a little more detail as to the terms of the interim loan facility, please?"
31,18609117,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",True,False,False,"It's normal commercial terms. Wayne is sitting here, I will ask them to talk about that. There's not a whole lot about-- can be said about it I don'tthink."
