,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18595853,ALPHATEC HOLDINGS INC,01/06/2012,2:00PM,ATEC,ALPHATEC HOLDINGS INC and Cross Medical Products Settle LicenseAgreement Dispute Corporate Conference Call,Operator,NA,NA,False,True,False,"Good day, ladies and gentlemen, and welcome to the Alphatec Spine, Inc. litigation conference call. At this time all participants are in a listen-onlymode. Later we will conduct a question-and-answer session and instructions will be given at that time. (Operator Instructions). As a reminder, thiscall may be recorded. I would now like to introduce your host for today's conference, Michael O'Neill. Sir, you may begin."
1,18595853,ALPHATEC HOLDINGS INC,01/06/2012,2:00PM,ATEC,ALPHATEC HOLDINGS INC and Cross Medical Products Settle LicenseAgreement Dispute Corporate Conference Call,Michael O'Neill,"Alphatec Holding, Inc.","CFO, VP & Treasurer",False,True,False,"Thank you and good morning, everyone.Welcome to Alphatec Spine's conference call to discuss the global sediments we have reached with CrossMedical which ends our litigation and associated legal expenses. With me today are Dirk Kuyper, President and Chief Executive Officer, and EbunGarner, our General Counsel. By now you should have seen a copy of yesterday's press release announcing Alphatec Spine's settlements of license agreement disputes withCross Medical. If you do not have a copy of today's press release you can find it in the Investor Relations section on our website atwww.AlphatecSpine.com. Before we start there are a couple of items we would like to cover. I'd like to remind you that this call is being webcast live and recorded. A replayof the event will be available later today on our website and will remain available for at least 30 days following the call. We would like to remind you that our discussions today include forward-looking statements. These statements are based on certain assumptionsmade by us based on historical trends, current conditions, expected future developments including business prospects, product developmentobjectives, future financial performance and other factors we believe to be appropriate in the circumstances. Risks and uncertainties that may cause our actual results to differ materially from those projected in these forward-looking statements. You canfind a discussion of these factors and more information about us in our filings with the SEC including the Risk Factor section in our annual reporton Form 10-K, subsequent quarterly reports on Form 10-Q and periodic filings on Form 8-K. Forward-looking statements are made as of the date of this call and we assume no obligation to update these statements publicly even if newinformation becomes available in the future.This broadcast is covered by US copyright laws and any use or rebroadcast of all or any portion of this     conference call may only be used with our express written permission. I'll now hand the call over to Dirk Kuyper, Alphatec Spine's President andChief Executive Officer."
2,18595853,ALPHATEC HOLDINGS INC,01/06/2012,2:00PM,ATEC,ALPHATEC HOLDINGS INC and Cross Medical Products Settle LicenseAgreement Dispute Corporate Conference Call,Dirk Kuyper,"Alphatec Holding, Inc.",President & CEO,False,True,False,"Thank you, Mike good morning and thank you for joining us today. This morning I'll provide some brief highlights on the settlement that weannounced with Cross Medical Products which is a subsidiary of Biomet, and then we'll open the call up for questions. We're pleased to announce that we've reached a global settlement agreement of two pending lawsuits.The first lawsuit, Cross Medical, had claimedthat Alphatec Spine had breached the April 23, 2003 licensing agreement with Cross Medical by failing to make certain royalty payments. In thesecond lawsuit Alphatec Spine had claimed that a subsidiary of Biomet infringed on a patent owned by Alphatec Spine. Under the terms of the settlement all parties obtained a release of all claims that were the subject of the disputes. No party has admitted liabilityin connection with the settlement. The settlement also includes an amendment to the April 23, 2003 license agreement. While we continue to believe in the strength of our position in this dispute, we felt that it served the best interest of our shareholders to proactivelysettle the matter to eliminate ongoing legal costs resulting from the litigation and remove any possibility of an unfavorable judgment that could'vehad a material adverse effect on the Company. As recent judgments in our industry have shown, there is an inherent uncertainty in the litigation process. In addition, in reaching a settlementagreement we can now fully focus our time and resources on executing on our 2012 business plan. As part of the settlement Alphatec Spine will pay Cross Medical an initial payment of $5 million in January 2012. In addition to the initial paymentAlphatec Spine will make 13 payments of $1 million with the payments made quarterly, and the first payment being due on August 1, 2012, andeach subsequent payment (technical difficulty) three months thereafter until the final payment, which is due August 1, 2015. A portion of the settlement expense will be applicable to the financial year 2011 and a portion applicable to subsequent periods.We'll provide theaccounting treatment as part of our 2011 year-end reporting and it will be incorporated in our 2012 guidance. In addition, pursuant to the settlement the parties have exchanged covenants not to sue for patent infringement with respect to products thateach respective company had on the market as of December 30, 2011. As you may recall, we generated $1.8 million in cash from operations in the third quarter. We've been public with our goal to generate cash forfull-year 2011 and I can confirm that the business accomplished this. As discussed in our third-quarter earnings call, our focus remains on growingrevenues faster than the category in regions where we compete, on improving our global gross margins, aggressively managing our operatingexpenses and a laser focus on cash flow generation. We announced several cost reduction initiatives which have resulted in incremental improvements in our cash flow in late 2011. We launched aset of three strategic initiatives aimed at improving our performance, the first is reducing our cost to goods sold and increasing efficiencies in ourUS operations second is reducing cost of goods sold in our international operations and third is reducing SG&A expenses internationally. The initiatives include insourcing currently outsourced manufacturing to maximize our capacity utilization and improve cash flow. Currently 80%of Scient'x implants are purchased as finished goods in the European Union and we have initiated transfer of high-volume products to our USproduction facility. Focusing on the vital few projects that most affect our success and elimination of duplications of efforts are other initiatives. All of these efforts aredriving incremental cash flow for the business in 2012.     We remain comfortable that we can meet the ongoing settlement obligations and continue to generate cash for the full-year 2012. Based uponthis we do not anticipate the need to raise additional capital now or in the future to fund our operation. In closing, it's important to point out that over the last 18 months Alphatec has gone through a major transformation into a global company. Duringthis period we have made substantive upgrades to the senior and international management teams and are clearly beginning to see the positiveimpacts from these changes. We're well positioned to take market share in the global spine market and to generate positive cash flow in 2012 and we remain committed to ourlonger-term goal of achieving a non-GAAP adjusted EBITDA margin in the 20% range. As we transition to Q&A I want to be clear that this call will not be -- we will not be discussing or commenting further on either our fourth-quarterfinancial performance or guidance for 2012. We anticipate providing this information as part of the year-end conference call which should takeplace towards the end of February. Thank you and I'd now like to open the call up for your questions."
3,18595853,ALPHATEC HOLDINGS INC,01/06/2012,2:00PM,ATEC,ALPHATEC HOLDINGS INC and Cross Medical Products Settle LicenseAgreement Dispute Corporate Conference Call,Operator,NA,NA,True,False,False,"(Operator Instructions). Glenn Novarro, RBC Capital Markets."
4,18595853,ALPHATEC HOLDINGS INC,01/06/2012,2:00PM,ATEC,ALPHATEC HOLDINGS INC and Cross Medical Products Settle LicenseAgreement Dispute Corporate Conference Call,Glenn Novarro,RBC Capital Markets,Analyst,True,False,False,"Congratulations on the settlement certainly the number came in well below what we were thinking. So good stuff. My one question has to dowith the level of wiggle room that you have to do other type of licensings and deals. In other words, you're telling us that you've got enough cashflow to now cover these payments which is great. But is there wiggle room to license innovative products like an OsseoFix or an OsseoScrew likeyou've done in the past? Thanks."
5,18595853,ALPHATEC HOLDINGS INC,01/06/2012,2:00PM,ATEC,ALPHATEC HOLDINGS INC and Cross Medical Products Settle LicenseAgreement Dispute Corporate Conference Call,Dirk Kuyper,"Alphatec Holding, Inc.",President & CEO,True,False,False,"As we look at the business we were able to operate very effectively with our cash flow for operations in 2011 and still make the investments weneeded to make in the business. And we see that going forward into 2012. In a way the good news is that, because of the changes in the market,that the opportunity to license those types of products has become somewhat easier. So we don't see this as an impediment to us taking advantageof opportunities as they come up."
6,18595853,ALPHATEC HOLDINGS INC,01/06/2012,2:00PM,ATEC,ALPHATEC HOLDINGS INC and Cross Medical Products Settle LicenseAgreement Dispute Corporate Conference Call,Glenn Novarro,RBC Capital Markets,Analyst,True,False,False,"Okay, great. And congrats."
7,18595853,ALPHATEC HOLDINGS INC,01/06/2012,2:00PM,ATEC,ALPHATEC HOLDINGS INC and Cross Medical Products Settle LicenseAgreement Dispute Corporate Conference Call,Operator,NA,NA,True,False,False,"Bill Plovanic, Canaccord."
8,18595853,ALPHATEC HOLDINGS INC,01/06/2012,2:00PM,ATEC,ALPHATEC HOLDINGS INC and Cross Medical Products Settle LicenseAgreement Dispute Corporate Conference Call,Bill Plovanic,Canaccord Genuity,Analyst,True,False,False,"Just, Mike, if you could help us out on the one-time charge and the ongoing charges. Where are these going to show up in the P&L? Will this be inCOGS or SG&A? And will the one-time charge -- will it be a one-time charge or do you amortize it over the balance of the settlement?"
9,18595853,ALPHATEC HOLDINGS INC,01/06/2012,2:00PM,ATEC,ALPHATEC HOLDINGS INC and Cross Medical Products Settle LicenseAgreement Dispute Corporate Conference Call,Michael O'Neill,"Alphatec Holding, Inc.","CFO, VP & Treasurer",True,False,False,The accounting treatment on the -- or how the settlement will appear in the P&L is still to be determined. It is a complex calculation on how muchof that would hit a charge in 2011 versus how much would appear in subsequent periods. But the licensing agreement expires at the end of 2013.So that would be the end of any P&L impact. It would normally show up -- ordinarily royalties show up as a piece of cost of goods sold.Whether this shows up there in future periods and whetherthe one-time charge shows up there remains to be seen given the nature of the settlement. But it is still a TBD as far as we're concerned at thispoint. But we'll be very clear when we come out with 2012 guidance as to what the impact is and where it shows up in the P&L.
