,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18597737,THE ACTIVE NETWORK INC,01/06/2012,4:00PM,ACTV,Active Network Inc to Discuss the StarCite Acquisition Conference Call,Operator,NA,NA,False,True,False,"Good day, ladies and gentlemen, and welcome to the Active Network call to discuss the StarCite acquisition conference call. My name is Lacey, andI will be your coordinator for today. At this time, all participants are in listen-only mode. Later, we will facilitate a question and answer sessiontowards the end of the presentation. (Operator Instructions). I would now like to turn the presentation over to your host for today's call, Ms. Brinlea Johnson with The Blueshirt Group. Please proceed."
1,18597737,THE ACTIVE NETWORK INC,01/06/2012,4:00PM,ACTV,Active Network Inc to Discuss the StarCite Acquisition Conference Call,Brenley Johnson,Active Network Inc,"IR,The Bluechip Group",False,True,False,"Good morning. Before we get started, we would like to remind you that our statements today that are not purely historical are forward-lookingstatements. Our actual results may differ materially from those projected in any forward-looking statements due to various risks and uncertainties,including but are not limited to, the risk that we may not be able to achieve expected strategic benefits from the acquisition of StarCite, the riskthat we will not be able to successfully integrate the operations of StarCite with or into our operations, the risk that revenues following the StarCiteacquisition will be lower than expected, and the risk that our business disruption, including without limitation, difficulties in maintaining customerrelationships is greater than expected following the StarCite acquisition. Additional information regarding risks and uncertainties of our Company is set forth in our public filings with the SEC. All forward-looking statementsare qualified in their entirety by this cautionary statement, and we undertake no obligation to revise or update these statements to reflect eventsor circumstances after the date hereof. This conference call will also be recorded, and will be available for replay and broadcast on the internet onActive Network's Investor Relation site at www.activenetwork.com under webcasts and presentations. With that, I will now turn the call over toDave Alberga, Chief Executive Officer of Active Network."
2,18597737,THE ACTIVE NETWORK INC,01/06/2012,4:00PM,ACTV,Active Network Inc to Discuss the StarCite Acquisition Conference Call,Dave Alberga,Active Network Inc,CEO,False,True,False,"Thanks, Brinlea, Good morning, everyone, and thanks for joining our call. We're very excited to announce that we've acquired StarCite, a leader inthe global corporate strategic meetings management space. In addition to it's global customer base and leading strategic management -- meetingsmanagement software-as-a-service technology, StarCite provides Active Network's customers access to a vast access online marketplace of thetop hotels, destinations and venue suppliers world-wide. The combination of StarCite and Active Network delivers three critical advantages thatare unmatched by any other offering. First, we now have the most robust end-to-end technology platform that scales to address events and meetings of all sizes, from large externallyfocused events like Oracle Open World to smaller employee meetings. Second, only Active Network has the leading attendee managementfunctionality, coupled with the most sophisticated strategic meetings management capabilities for our customers. And finally, we have the largestfootprint in the business events market, building upon Active Network's current leadership position. This acquisition puts us in position to more effectively manage costs for procurement and logistics departments, while at the same time using ourexisting solutions to engage event attendees more deeply, and as a result drive additional revenue for sales and marking departments. Thisacquisition is a key step we are taking to evolve the events industry, from one that focuses on meetings logistics and spend management, to onethat includes continuous community engagement, enabling organizations to build lifetime value with their customers and employees. With a single technology suite we power customers of all sizes, including small and medium size businesses, enterprise corporations, associations,trade shows and expos, for their entire event management needs. Combined, our customers now include 10 of the largest 15 financial servicesinstitutions, 10 of the largest 15 technology corporations, nine of the largest 15 pharmaceutical companies, and over 1,000 associations. The factthat we now provide the most comprehensive technology solution, and that we have limited customer overlap gives us significant opportunityfor cross-selling our technology solutions. With that, I will turn the call over to Scott to discuss the financial terms of the deal."
3,18597737,THE ACTIVE NETWORK INC,01/06/2012,4:00PM,ACTV,Active Network Inc to Discuss the StarCite Acquisition Conference Call,Scott Mendel,Active Network Inc,CFO,False,True,False,"Hello, everyone, and thanks for listening in. I would like to echo Dave's sentiment, and say that we're very excited about our acquisition of StarCite.As we stated on previous calls, we're focusing on leveraging acquisitions to accelerate the natural progression of our solutions into our currentcustomer groups. And we believe that the StarCite acquisition is consistent with that growth strategy. We purchased StarCite for $57.7 million, $40million of it in cash, and 1.35 million shares valued at $17.7 million. Additionally, there's potential for 150,000 shares of contingent consideration.This implies a purchase price of approximately 1.2 times the 2012 pro forma revenue, and 9.7 times the 2012 EBITDA, after the impact of purchaseaccounting reduction on deferred revenue. Now we'd like to provide with you some of the key variables for modeling purposes. We estimate additional revenue of $35 million to $37 millionin 2012, assuming a purchase accounting deferred revenue haircut of approximately $10 million to 12 million. We anticipate EBITDA of negative$5 million to negative $6 million in 2012, driven mainly by this purchase accounting deferred revenue haircut. This also includes integration costsof approximately $2 million in the 2012 time frame. Historically, we have seen intangibles of approximately 40% of the purchase price, and typicalamortization periods for an acquisition like this are three to five years. We anticipate the revenue will be a 50/50 split between registration and other technology revenue. Historically, StarCite has had approximately2.5 million registrations per year.We expect the StarCite acquisition to be accretive beyond 2012, and we expect future revenue growth to be equalto or greater than our existing businesses. With that, I will turn the call over to Dave for a few closing comments. And then we'll conduct Q&A."
4,18597737,THE ACTIVE NETWORK INC,01/06/2012,4:00PM,ACTV,Active Network Inc to Discuss the StarCite Acquisition Conference Call,Dave Alberga,Active Network Inc,CEO,False,True,False,"I will just reiterate our excitement around the acquisition of StarCite, which is a powerful complement to Active Network's attendee managementsolutions.We see very exciting opportunities within the business events customer vertical, and believe StarCite, in combination with Active Network,provides an unbeatable end-to-end technology solution. We continue to execute on our strategic goals, and look forward to sharing our fourthquarter results on our fiscal 2011 earnings call. With that, I will turn the call over to the operator to conduct Q&A."
5,18597737,THE ACTIVE NETWORK INC,01/06/2012,4:00PM,ACTV,Active Network Inc to Discuss the StarCite Acquisition Conference Call,Operator,NA,NA,True,False,False,Thank you. (Operator Instructions). And our first question will come from the line of Mark Mahaney with Citi. Please proceed.
6,18597737,THE ACTIVE NETWORK INC,01/06/2012,4:00PM,ACTV,Active Network Inc to Discuss the StarCite Acquisition Conference Call,Rohit Kulkarni,Citigroup,Analyst,True,False,False,"Hi, this is Rohit filling in for Mark. I'm so sorry, I joined a couple minutes late. Can you please elaborate or recap the time frame for the integrationof StarCite with Active Network technology? Do you have any plans to do that? Within the guidance that you give, to what extent does profitabilityof StarCite is included in that, plus just any new or additional costs that you layer onto the model?"
7,18597737,THE ACTIVE NETWORK INC,01/06/2012,4:00PM,ACTV,Active Network Inc to Discuss the StarCite Acquisition Conference Call,Dave Alberga,Active Network Inc,CEO,True,False,False,"Yes. So in terms of the time frame, we're actually not prepared to give you a time frame for that right now, but we do plan to integrate this in withthe product.The attendee management functionality that we have with our existing products will slot in very nicely with what they have, in termsof their strategic meetings management piece, and also their vendor relationship piece of technology. And we'll be looking to put those togetherrather seamlessly as we move forward. And we'll get back to you with kind of a more precise time line after we have a little more time to dig intothis and make sure we can give you better dates on that. In terms of additional costs associated with that process, we really don't believe there are going to be any above and beyond costs associated withthat process. It is more so going to be, just part of the ongoing development efforts of the team. And in fact, there are people associated with thatparticular project already within StarCite, in terms of bringing attendee management up. And they will be able to focus primarily on the integrationefforts for us. So we think that, that's going to work out well for us from a cost standpoint."
8,18597737,THE ACTIVE NETWORK INC,01/06/2012,4:00PM,ACTV,Active Network Inc to Discuss the StarCite Acquisition Conference Call,Scott Mendel,Active Network Inc,CFO,True,False,False,"And, Rohit, Scott here. I would just reiterate, the impact on long-term model is really the two things that I have called out. Number one, is thepurchase accounting impact of the deferred revenue, so that's about $10 million to $12 million impact in 2012. We do have the $2 million or so ofintegration costs in 2012. Then, obviously, the non-cash items going forward would impact our GAAP income projections. It's probably moved itout another 18 months or so."
9,18597737,THE ACTIVE NETWORK INC,01/06/2012,4:00PM,ACTV,Active Network Inc to Discuss the StarCite Acquisition Conference Call,Operator,NA,NA,True,False,False,And our next question will come from the line of Brian Pitz with UBS. Please proceed.
