,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18608925,CAREFUSION CORP,01/09/2012,2:00PM,CFN,CareFusion Conference Call to Discuss Preliminary Second Quarter Results,Operator,NA,NA,False,True,False,"(Operation Instructions) Amit Bhalla, Citi."
1,18608925,CAREFUSION CORP,01/09/2012,2:00PM,CFN,CareFusion Conference Call to Discuss Preliminary Second Quarter Results,Amit Bhalla,Citi,Analyst,False,True,False,"Good morning. Two quick questions for you. First, last quarter, when you were talking about the infection prevention business, youtalked about the impact of procedure volumes and distributor purchasing being slightly weaker. Can you comment on that inparticular? And then just secondly, can you quantify the level of pricing pressure that you are seeing? Thanks."
2,18608925,CAREFUSION CORP,01/09/2012,2:00PM,CFN,CareFusion Conference Call to Discuss Preliminary Second Quarter Results,Jim Hinrichs,CareFusion Corporation,CFO,False,True,False,"It's Jim Hinrichs, and Kieran can chime in here if he'd like. We are not seeing increased pressure in procedure volumes. I wouldn't saythat things are rebounding dramatically, but we are not pointing at that as a major driver here. And when it comes to -- the second part of your question was about pricing pressure -- about pricing pressure, we do continue tosee pricing pressure in specific businesses, and those are the ones that are less clinically differentiated. So when I look at our productlines in respiratory disposables and legacy prep, as well as our legacy non-dedicated infusion sets, those are the areas where we areseeing pricing pressure. I think it ranges from a few points into the mid single digits of pricing push back to us from our customers."
3,18608925,CAREFUSION CORP,01/09/2012,2:00PM,CFN,CareFusion Conference Call to Discuss Preliminary Second Quarter Results,Kieran Gallahue,CareFusion Corporation,"Chairman, CEO",False,True,False,"Just a chip shot on that, Amit. It's not as if we're seeing a rebound on a procedure volumes side. It's just that we wouldn't point tothat as the primary driver. We are seeing it across both of our conversion-oriented businesses. What we are seeing is that we're notlosing market share. We still feel very good from a competitive perspective, and that's the feedback that we are getting from theorthogonal checkpoints in the field. What it does seem is that in the environment that we are at, some of the conversion efforts are just taking a bit longer than theyhave in the past. And what you do is when you are sitting across from these hospital administrators, they see the value. Sometimeswhat you will do is you'll get a conversion of 50% of the hospital or the hospital systems, and that second part of the conversion isusually a lot of street fighting, where you are in there, you are looking for different levels of the organization to support you in thatconversion. Right now, they are a bit distracted, and we are not seeing that same level of support simply because they've got multiple priorities.But the good news, we are not losing market share there. We are still growing above market rates, and we are steady as she goes. Also, this adjustment in the sales force is going to allow us to have greater resources being focused in front of the customers asopposed to in front of the windshield. So we are taking the actions to become more efficient and more effective with our customersas well."
4,18608925,CAREFUSION CORP,01/09/2012,2:00PM,CFN,CareFusion Conference Call to Discuss Preliminary Second Quarter Results,Amit Bhalla,Citi,Analyst,False,True,False,"Kieran, you mentioned distributors as an issue last quarter. Was that resolved or are distributors --?"
5,18608925,CAREFUSION CORP,01/09/2012,2:00PM,CFN,CareFusion Conference Call to Discuss Preliminary Second Quarter Results,Jim Hinrichs,CareFusion Corporation,CFO,False,True,False,"It's Jim. That very specific -- obviously, inventory changes throughout the channel all the time in all the product lines. The specificissue we pointed to last quarter did not repeat in this quarter, so that seems to have leveled itself out. That was specifically, if youremember, destocking in the infection prevention businesses, which seems to have leveled off now. So we are kind of -- we feel likewe are back to normal in that part of the business from that perspective."
6,18608925,CAREFUSION CORP,01/09/2012,2:00PM,CFN,CareFusion Conference Call to Discuss Preliminary Second Quarter Results,Amit Bhalla,Citi,Analyst,False,True,False,Okay. Thank you.
7,18608925,CAREFUSION CORP,01/09/2012,2:00PM,CFN,CareFusion Conference Call to Discuss Preliminary Second Quarter Results,Operator,NA,NA,False,True,False,"Matt Taylor, Barclays."
8,18608925,CAREFUSION CORP,01/09/2012,2:00PM,CFN,CareFusion Conference Call to Discuss Preliminary Second Quarter Results,Matt Taylor,Barclays Capital,Analyst,False,True,False,"A couple of quick ones. One, I just wanted to understand within Procedural Solutions, I know you talked about pressure on productsthat were not clinically differentiated. But was there any one or two areas in particular with the surgical tools or some of the disposableswhere the pressure was kind of outside?"
9,18608925,CAREFUSION CORP,01/09/2012,2:00PM,CFN,CareFusion Conference Call to Discuss Preliminary Second Quarter Results,Kieran Gallahue,CareFusion Corporation,"Chairman, CEO",False,True,False,"Well, Jim and I will sort of tag team a little bit on this. Certain areas such as the respiratory disposables, where there is very littleclinical differentiation -- I mean, some segments, there's a lot, but there is other niches within that where there's not as muchdifferentiation. That is subject much more to the pricing pressures we have seen. We haven't really on the surgical tools side seen dramatic pricing pressure at all. In fact, we feel like we're doing -- we are not doinggangbusters there, but we feel like from a competitive perspective as we looked around, we actually feel like we are doing betterthan competitors and feel like we're gaining some share. So it is in some very targeted areas, some on the valve business. The newer stuff, like the Medegens and whatnot, very clinicallydifferentiated. Some of the existing product lines that have been in the market for a longer time, they're going to be a little bit moresubject to those pressures."
