,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18595662,DURECT CORP,01/06/2012,1:30PM,DRRX,Durect Corp to Discuss POSIDUR Clinical Trial Results,Operator,NA,NA,False,True,False,"Greetings, and welcome to the DURECT third-quarter earnings meeting. At this time, all participants are in a listen-only mode. A briefquestion-and-answer session will follow the formal presentation. (Operator Instructions) As a reminder, this conference is being recorded. It is nowmy pleasure to introduce your host, Mr. Matt Hogan. Thank you, sir. You may begin."
1,18595662,DURECT CORP,01/06/2012,1:30PM,DRRX,Durect Corp to Discuss POSIDUR Clinical Trial Results,Matt Hogan,DURECT Corporation,CFO,False,True,False,"Okay, good morning. Welcome to our conference call to discuss the top-line results from BESST and our overall POSIDUR program. Sorry if therewas any confusion with the dial-in numbers, but it sounds like we have a critical mass of people on the call.This is Matt Hogan, the CFO at DURECT.This call will begin with a brief presentation by Jim Brown, our President and CEO, and then we will open it up for a Q&A session. Before beginning,I would like to remind you of our Safe Harbor statement. During the course of this call, we may make forward-looking statements regarding DURECT's products and development, expected product benefits,our development plans, future clinical trials, or projected financial results. These forward-looking statements involve risks and uncertainties thatcan actual results to differ materially from these in such forward-looking statements. Further information regarding these and other risks areincluded in our SEC filings, including our 10-Q under the heading Risk Factors. With that, let me hand it over to Jim Brown."
2,18595662,DURECT CORP,01/06/2012,1:30PM,DRRX,Durect Corp to Discuss POSIDUR Clinical Trial Results,Jim Brown,DURECT Corporation,President & CEO,False,True,False,"Thanks, Matt, and good morning, everyone.The results in BESST trended positive for pain reduction and opioid sparing. However, they didn't reachstatistical significance for the co-primary endpoints. Although we still have more analysis to perform, POSIDUR continues to appear to be safe, andin all three cohorts, we saw a strong reduction in pain. The BESST trial provides us with additional safety information the FDA was seeking for thisprogram. In addition to being an efficacy study in older and sicker patients with larger wounds, BESST was a 300-patient study with extensive cardiacmonitoring. As a result, we have strong evidence of efficacy in our previous shoulder and hernia trials. Our plan is to combine the data from thesetwo models together with BESST, which gives us experience from a variety of abdominal surgeries to demonstrate the safety and effectiveness ofPOSIDUR in controlling post-operative pain. Our next step is completing the analysis of the BESST data and combining these results with ourprevious well-controlled studies into the integrated safety and efficacy reports that will lead to a pre-NDA meeting with the FDA. I will now reviewBESST and the results in greater detail. A review of the design of BESST -- BESST was designed to test POSIDUR in a variety of settings larger wound lengths, more serious surgical procedures,and with an older, sicker population of patients. BESST consisted of three cohorts of patients undergoing different general abdominal surgical     For next steps, there are still a lot of data from BESST that we have to analyze. Then we intend to pull together an integrated safety and efficacyreport that will tie together the entire body of work we have done with POSIDUR to date. We next plan to hold a pre-NDA meeting with the FDA.We believe that this meeting can happen by mid-year.We believe the overall program shows a positive risk/benefit profile for POSIDUR and supportsan NDA submission. Although we don't have the full reports for BESST yet in hand, at this point we don't see any systemic safety issues. Bupivacaineis a well-established agent with long history of use, and it isn't a new chemical entity with a limited medical history. With respect to efficacy, we have shown in multiple models evidence of reduction in pain scores over three full days. And I do want to emphasizethe three full days, because if you look at the response of these patients and you look at whether it's on the spaghetti graphs that measure it onmultiple time points over time, or you just look at the pain scores as reported out from a statistical analysis looking out on a daily basis, this is trulya product that works on day one, on day two, on day three. We have improvement in incisional pain in our Cohort 3, when only this true pain on movement score was analyzed.We have statistically significantimprovement in pain scores in Cohorts 1 and 2 pooled, against a bupivacaine active comparator. We have a statistically significant improvementin pain scores in our earlier hernia trial, and a statistically significant improvement in our pain scores in our latest shoulder surgery model. In addition,we have shown in multiple models and studies where we have seen a numerical superiority with respect to reduction in opioid use after surgery,and in our hernia trial, this was over a threefold reduction, and with a p-value below 0.02. While we will be really pursuing an approval on the basis of pain reduction, this opiate reduction may contribute to the overall risk/benefit analysisfor POSIDUR. Our view is that this body of evidence in multiple surgical models is compelling, and may be the basis of a possible approval. Havingsaid that, we need to explore this with the FDA, which we intend to do. With that, we would now be happy to take any questions that you have."
3,18595662,DURECT CORP,01/06/2012,1:30PM,DRRX,Durect Corp to Discuss POSIDUR Clinical Trial Results,Operator,NA,NA,True,False,False,Thank you. (Operator Instructions) Robert Manning.
4,18595662,DURECT CORP,01/06/2012,1:30PM,DRRX,Durect Corp to Discuss POSIDUR Clinical Trial Results,Robert Manning,,Analyst,True,False,False,"My question -- these results are obviously a little disappointing, but I have always looked at this as the icing on the Remoxy cake. Any developmentsin Remoxy since the kind of positive comments that came out of Pfizer in early November?"
5,18595662,DURECT CORP,01/06/2012,1:30PM,DRRX,Durect Corp to Discuss POSIDUR Clinical Trial Results,Jim Brown,DURECT Corporation,President & CEO,True,False,False,"Nothing new since Pfizer has made those comments, but we continue to work with them and continue to make progress. But I think I would liketo emphasize, although we are disappointed about the two co-primary endpoints, the fact is that we think there is still a nice opportunity forPOSIDUR. We have the very nice efficacy and opioid sparing results, particularly from our hernia trial, as well as our shoulder study. We have theother data that you have seen here -- the incisional pain for Cohort 3 and Cohorts 1 and 2, where we had a very nice pain signal, as well. We thinkthat, plus all of the safety information, will give us a nice opportunity for this potential NDA submission. So, although it's -- one didn't hit on thoseco-primary endpoints, it doesn't mean that this product doesn't work."
6,18595662,DURECT CORP,01/06/2012,1:30PM,DRRX,Durect Corp to Discuss POSIDUR Clinical Trial Results,Robert Manning,,Analyst,True,False,False,"Yes. Okay, thanks."
7,18595662,DURECT CORP,01/06/2012,1:30PM,DRRX,Durect Corp to Discuss POSIDUR Clinical Trial Results,Jim Brown,DURECT Corporation,President & CEO,True,False,False,Okay.
8,18595662,DURECT CORP,01/06/2012,1:30PM,DRRX,Durect Corp to Discuss POSIDUR Clinical Trial Results,Robert Manning,,Analyst,True,False,False,"I'll get back in queue. If nobody else has anything to ask, I'd just -- I have another thing, but I'll let somebody else go ahead."
9,18595662,DURECT CORP,01/06/2012,1:30PM,DRRX,Durect Corp to Discuss POSIDUR Clinical Trial Results,Jim Brown,DURECT Corporation,President & CEO,True,False,False,"Go ahead. If you want to ask a question, go ahead."
