,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18609070,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Operator,NA,NA,False,True,False,"(Operator Instructions). Clay Moran, Benchmark."
1,18609070,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Clay Moran,The Benchmark Company,Analyst,False,True,False,"Good morning. A couple of things. Could you talk a little bit about the competitive landscape where TaxACT fits in, what the barriersto entry are? And seems like TaxSlayer may be somewhat new to the market, what do they represent in terms of a competitive threat? Secondly, just any change to management that is considered at this point -- TaxACT management, are they all staying on and what'stheir incentive to stay?"
2,18609070,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Bill Ruckelshaus,InfoSpace,President and CEO,False,True,False,"Yes, thanks, Clay. So the tax preparation market is -- consists of established providers, names you have heard of over time, H&R Block,and other off-line typically historically off-line paid professionals who prepare. The market is roughly 60% today on the side ofprofessionals and paid preparers and then about 40% what's called do-it-yourself, which historically has been pen and paper, morerecently has been desktop software and even more recently has been online.     And the dynamics are not unlike dynamics, Clay, as I mentioned in my comments, that you see in other consumer segments wherejust online is an easier way to do it. And there are some hurdles you've got to get over as it relates to the perceived complexities oftax preparation and some of the consumer inhibitions around using an online service to do something like tax preparation. But nevertheless, that shift is underway. It's one that we recognize from other consumer verticals. The competitive landscape as it relates to the do-it-yourself includes Intuit, which is a large and respected player in the space H&RBlock is also online with an online solution TaxACT is a leader as we have talked about. You mentioned TaxSlayer, there's a coupleof other players that would I think probably properly be put in the value segment within the online landscape. And I would say the barriers to entry principally, Clay, are really around the product and the domain expertise of providing consumerswith an easy way to do their taxes in an online format. That is -- as simple as that may seem to say, it's a very sophisticated offeringand capability that TaxACT has developed over a decade and prior to that at a different company. And the translation of what can be a rather complicated and confusing set of rules and procedures as they might apply to an individualas they progress through life, translating that into an interview style product offering that gets people comfortable with doing suchan important thing online is actually a nontrivial thing and really deeply resides in product and understanding of the tax code andtranslating that into something from a consumer interface standpoint that is intuitive and comfortable. So it really is just I think it has a lot to do with domain expertise, which is not uncommon for an industry like this."
3,18609070,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Clay Moran,The Benchmark Company,Analyst,False,True,False,One follow up there before you move on to the management. Any plans at all to alter the strategy and/or just enhance the marketinggiven that InfoSpace is traditionally an online marketing Company? Are there any tweaks to what they're doing that you feel youcan help the current situation?
4,18609070,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Bill Ruckelshaus,InfoSpace,President and CEO,False,True,False,"Well, certainly we are optimistic that we can help and enable what the TaxACT team is doing.We really do like the strategy they havebeen pursuing. I would say from a fit standpoint it lines up very well. We see a lot of cultural alignment between our two companiesat the core. We really do feel like there is the beginnings of a great relationship with the team in Cedar Rapids. So I would say that isprobably one of the best combination effects right off the bat. The second is we are both online companies and that's just through the DNA of both companies knowing what it means to ownand operate a website, the importance of keeping that website up to date, the importance of uptime and reliability, the importanceof security, all the aspects around being an online presence. And then the aspects with respect to product development and consumer marketing -- and I know you mentioned marketing inparticularly, those are two fundamental undertakings of the company of TaxACT that we think they're quite good at. We have beenimpressed by them in both of those realms and to the extent that we can help, we're absolutely prepared to do that and do so in acollaborative way. And as you can probably guess from the trended results of the company, the good news is that there's nothing broken at the momentso they're humming along and we have lots of discussions under way as to how we can help them.     I think, Clay, you had also asked a question about retention. And so the management team is sticking around, we have discussedroles with the team there that are unaltered. As I had mentioned in my introductory remarks, the team was one of the real attractivepoints for us in pursuing this combination. So we have as you might imagine, discussions and resolution as it relates to roles and responsibilities after this transaction."
5,18609070,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Clay Moran,The Benchmark Company,Analyst,False,True,False,"Okay, thank you, congratulations."
6,18609070,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Bill Ruckelshaus,InfoSpace,President and CEO,False,True,False,Thanks a lot.
7,18609070,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Operator,NA,NA,False,True,False,"Kartik Mehta, Northcoast Research."
8,18609070,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Kartik Mehta,Northcoast Reasearch,Analyst,False,True,False,"Good morning. I was wondering, you gave some numbers as to what you thought the online market was growing and then you alsotalked about how well TaxACT was growing. And I'm wondering for the upcoming tax season, would you expect to grow in line withwhat you thought the online market was growing or is TaxACT in a position where you think you can grow faster?"
9,18609070,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Bill Ruckelshaus,InfoSpace,President and CEO,False,True,False,"Well, certainly it would be our expectation to grow in line with the market. It's early to speak to the 2011 tax year season as werereally just getting underway, as you know. But the company is excited about the plans it has in place. It has in the course of this year unlike -- not unlike prior years, learned a lot of things as it relates to the market and how it developedin calendar year 2010, tax year 2010. Applied those learnings into its product, applied those learnings into its marketing, thoughtsaround marketing budget and marketing mix and timing of its marketing spend. And so I think that they are very well positionedto have a good year and certainly it's everybody's expectation that they will grow with the market. One thing I would say is that historically the growth formula is very logically a function of getting consumers to come to the site,getting those that have worked with you in the past to revisit and reuse your product and then also making sure that they are makingit -- they have available to them a variety of offerings, some of which will be paid and that they make full use of those so that thatcan go to conversion within the funnel. And all of those levers are being pursued. I think from a pricing standpoint, the company has not historically taken aggressive pricing year on year. Price and value andaffordability are fundamental to its core message to consumers. And so I think that is a lever that they'll use more judiciously thanit simply will be trying to drive year on year revenue growth through pricing action. But to your core question as it relates to the unit volumes, certainly they are expecting to grow with the market."
10,18609070,"INFOSPACE, INC.",01/09/2012,1:30PM,INSP,InfoSpace Conference Call to Discuss Acquisition of TaxACT,Kartik Mehta,Northcoast Reasearch,Analyst,False,True,False,"And so as I look at the numbers you presented in your presentation, obviously TaxACT grew revenue fairly well from FY '10 to FY '11.Would that imply that the corresponding customers grew in the same manner concerning your statement that they have not usedpricing really?"
