,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18595943,INTEGRA LIFESCIENCES HOLDINGS CORP,01/06/2012,1:30PM,IART,Integra LifeSciences Corporation Conference Call To Discuss PreliminaryQ4 2011 Financial Results,Operator,NA,NA,False,True,False,"(Operator Instructions) Raj Denhoy, Jefferies."
1,18595943,INTEGRA LIFESCIENCES HOLDINGS CORP,01/06/2012,1:30PM,IART,Integra LifeSciences Corporation Conference Call To Discuss PreliminaryQ4 2011 Financial Results,Raj Denhoy,Jefferies & Company,Analyst,False,True,False,"Maybe I can ask a bit about -- at the analyst meeting back in November here, you guys laid out a pretty detailed strategy for howyou are going to grow the Company going forward, and I think what we took away from that was international growth was probablythe biggest opportunity from a revenue standpoint. And then on the margin side, you were really looking for kind of the mix toExtremity's and Orthopedics broadly kind of driving the margin expansion. And yet, in the third quarter and then here now in thefourth quarter, both of those things seem to have yet to really materialize. International, as you mentioned, still weak. Extremity'sweak for a number of reasons. But I'm curious whether what's going on here has really caused you to kind of go back and reassesswhether that strategy laid out is really the best one for growing the Company going forward?"
2,18595943,INTEGRA LIFESCIENCES HOLDINGS CORP,01/06/2012,1:30PM,IART,Integra LifeSciences Corporation Conference Call To Discuss PreliminaryQ4 2011 Financial Results,Peter Arduini,Integra Lifesciences Holdings Corp,CEO,False,True,False,"Yes, Raj, thanks for the question. I think overall our strategy has not changed. I think when we take a look at our broader outlook,the points that you made about our international opportunity -- as you know, it's over 77%, 75% of our overall growth is still domestic.We have a large opportunity, and we're making good progress on registrations, infrastructure, our new office capabilities. So, whenI take a look at, over our next three- to five-year horizon, very, very solid from an international standpoint. Extremities, as you spokeof and as we mentioned at the investor conference, relative to accretion really in Orthopedics bringing higher gross margin rates tothe overall business, we still believe is there. The reality of it is though our expectations for the growth that we thought we wouldhave in Q4 didn't meet our expectations, and with that we've tempered our 2012 expectations because of that. Then Jack, if you'd like to add any comments?"
3,18595943,INTEGRA LIFESCIENCES HOLDINGS CORP,01/06/2012,1:30PM,IART,Integra LifeSciences Corporation Conference Call To Discuss PreliminaryQ4 2011 Financial Results,Jack Henneman,Integra Lifesciences Holdings Corp,CFO,False,True,False,"Yes. I mean, I think that the main point around Extremities, just to pound the point home because we just said it in the script, is thatwe think we've got specific rifle shot issues that are transitory. And we are, I think, doing everything we need to do on the Ascensionintegration, but moving sales from a distributed sales force to a direct sales force requires a lot of training, a lot of attention, theabsorption of a lot of knowledge. Similarly, we've been managing our supply issues out of the Plainsboro plant well, I think. The backorder came in well below thenumber we had sort of put out there back in November. But I think the thing we didn't quite appreciate was how much time it wouldtake the sales force to respond to the needs of the customer by moving product around.We're trying to be realistic, and say we thinkthat will continue into the first quarter. So, that has also tempered our view of things. But overall, we think the business is healthy,the sales force is very excited by the Ascension opportunity. We have unique material in the Pyrocarbon that is opening all kinds ofnew doors and exciting the existing doctors. So again, we believe this to be temporary, not longer term, and hope that by theSummer, we are rocking."
4,18595943,INTEGRA LIFESCIENCES HOLDINGS CORP,01/06/2012,1:30PM,IART,Integra LifeSciences Corporation Conference Call To Discuss PreliminaryQ4 2011 Financial Results,Raj Denhoy,Jefferies & Company,Analyst,False,True,False,"Okay, good, thank you."
5,18595943,INTEGRA LIFESCIENCES HOLDINGS CORP,01/06/2012,1:30PM,IART,Integra LifeSciences Corporation Conference Call To Discuss PreliminaryQ4 2011 Financial Results,Operator,NA,NA,False,True,False,"David Lewis, Morgan Stanley."
6,18595943,INTEGRA LIFESCIENCES HOLDINGS CORP,01/06/2012,1:30PM,IART,Integra LifeSciences Corporation Conference Call To Discuss PreliminaryQ4 2011 Financial Results,David Lewis,Morgan Stanley,Analyst,False,True,False,"Jack, just sort of walk through the rifle shot as it relates to Ascension -- I guess we were a little surprised that Ascension caused thatkind of disruption. I guess post the analyst day and heading into 2012, SeaSpine for example, we thought the cross-selling associatedwith that transaction was going to be very, very important to Spine growth throughout 2012. I just wonder as we think about someof these integration-related disruptions in the fourth quarter, how confident are you in sort of SeaSpine integration and no disruptionto the Spine business broadly defined heading into 2012?"
7,18595943,INTEGRA LIFESCIENCES HOLDINGS CORP,01/06/2012,1:30PM,IART,Integra LifeSciences Corporation Conference Call To Discuss PreliminaryQ4 2011 Financial Results,Peter Arduini,Integra Lifesciences Holdings Corp,CEO,False,True,False,"David, it's Peter, I'll comment and then Jack, you can add some thoughts to that. I think where we are with the SeaSpine integration,we feel very good that we've integrated the distributor structure. We're cross-pollinating our products we've got a lot of systems inplace and marketing structure in place that took a good chunk in 2011. And so we had stable results really in Q4, and we see thatcontinuing really into 2012. On the Extremity aside, remind you that we were actually integrating a distributor structure into a direct sales force as to combiningtwo distributor structures as we did in Spine. And some of that activity obviously now in retrospect is taking a little bit more time toget that integrated into our direct team. That being said, our teams are well trained, as I mentioned, now, up to speed on thoseproduct lines, feeling good about the new surgeon relationships that they have. And we believe obviously starting into the newyear we'll be able to get some of that disruption behind us. Jack, you may want to --?"
8,18595943,INTEGRA LIFESCIENCES HOLDINGS CORP,01/06/2012,1:30PM,IART,Integra LifeSciences Corporation Conference Call To Discuss PreliminaryQ4 2011 Financial Results,Jack Henneman,Integra Lifesciences Holdings Corp,CFO,False,True,False,"I think that's exactly right. I mean, when we look back over these two integrations, I'd say we think we're doing the right things inboth cases. That doesn't mean that we have perfectly anticipated what would happen to revenues in every circumstance, which isa question about anticipating forecasting rather than actually executing. But the thing to bear in mind is that they are different in --the integration of these distribution systems, as Pete said, are different. One was SeaSpine, distributor to distributor where therewas very little overlap, and indeed, most distributors in both organizations were retained. In the Ascension side, we were terminatingmost, not all, but most of the distribution network, and moving those sales to a direct sales force that obviously causes more conflict.Overall, it held up pretty well. I'd say we should have anticipated more disruption than we did."
9,18595943,INTEGRA LIFESCIENCES HOLDINGS CORP,01/06/2012,1:30PM,IART,Integra LifeSciences Corporation Conference Call To Discuss PreliminaryQ4 2011 Financial Results,David Lewis,Morgan Stanley,Analyst,False,True,False,"Okay, thank you very much."
10,18595943,INTEGRA LIFESCIENCES HOLDINGS CORP,01/06/2012,1:30PM,IART,Integra LifeSciences Corporation Conference Call To Discuss PreliminaryQ4 2011 Financial Results,Operator,NA,NA,False,True,False,"Matt Miksic, Piper Jaffray."
11,18595943,INTEGRA LIFESCIENCES HOLDINGS CORP,01/06/2012,1:30PM,IART,Integra LifeSciences Corporation Conference Call To Discuss PreliminaryQ4 2011 Financial Results,Matt Miksic,Piper Jaffray & Co.,Analyst,False,True,False,"Just a follow-up, not to beat a dead horse here with Extremity's, but it's been up and down kind of throughout 2011. And it soundedlike there were some issues in the third quarter that weren't necessarily the same issues in the fourth quarter, specifically thinkingof the training. And again going back to the meeting coming off of the third quarter call and your analyst meeting, it sounded likesome of the third quarter issues were transitory. Can you give us some color in terms of the end market and maybe the availabilityof some of your Biologics, your Collagen products, were those things that, all other things being equal, ex the distraction of yoursales force, do you believe that the end market, the demand, the volume was there and this was more of a sales distraction? And then second, if you could give some sense as to when -- you mentioned middle of the year or the Summer, is it going to be acouple of quarters? Can we see an improvement in Q1? Any color on sort of timing would be helpful. Thanks."
