,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18608549,PENFORD CORP.,01/09/2012,4:00PM,PENX,Q1 2012 Penford Corp Earnings Conference Call,Operator,NA,NA,False,True,False,"Greetings and welcome to the Penford Corporation fiscal-year 2012 first-quarter results. At this time, all participants are in a listen-only mode. Abrief question-and-answer session will follow the formal presentation. (Operator Instructions). As a reminder, this conference is being recorded. It is now my pleasure to introduce your host, Steve Cordier, CFO for Penford Corporation. Thank you, sir. You may begin."
1,18608549,PENFORD CORP.,01/09/2012,4:00PM,PENX,Q1 2012 Penford Corp Earnings Conference Call,Steve Cordier,Penford Corporation,"SVP, CFO, Asst. Secretary",False,True,False,"Thank you, Dan. Good morning, everyone. Thank you for participating on our conference call to discuss Penford's first-quarter fiscal 2012 financialresults. Joining me on the call is Tom Malkoski, President and Chief Executive Officer of Penford Corporation. Before we get started, let me caution you about any forward-looking comments we might make this morning. Any forward-looking statementsregarding future events or the financial performance of the Company are just predictions, and actual events or results may differ materially. Theseforward-looking statements are subject to numerous risks and uncertainties. These include the performance of the economy as a whole and itsimpact on Penford's customers increased competition raw material chemical and energy costs litigation the Company's ability to access financialmarkets interest-rate changes changes in returns on pension plan assets and/or assumptions used for determining employee benefit expensesand obligations. Please refer to the documents that we file from time to time with the Securities and Exchange Commission for a discussion of these and other risksand uncertainties. And finally, we do not undertake to update publicly any forward-looking statements to reflect new information, events orcircumstances after the date of this call or to reflect the occurrence of unanticipated events. I will offer some comments on the financial results and segment operations.Tom will discuss future prospects for Penford and the pending acquisitionof Carolina Starches. Today, we reported that consolidated sales for the first quarter of fiscal 2012 rose 26% to $90.7 million from $72.3 million last year. Both businesssegments achieved record sales levels for the quarter. Volume gains in the Food business and Industrial Specialty Bioproducts, along with improved unit pricing in both segments, contributed to therevenue increase. Quarterly gross margin of $11.8 million expanded 28% over last year, and gross margin as a percent of sales was 13% compared with 11.9% a yearago. This improvement reflects higher revenues, an increasing contribution to growth and profitability by the Food Ingredients and IndustrialSpecialty Bioproducts businesses, as well as better processing and manufacturing fees in the Industrial division."
2,18608549,PENFORD CORP.,01/09/2012,4:00PM,PENX,Q1 2012 Penford Corp Earnings Conference Call,Tom Malkoski,Penford Corporation,"President, CEO",False,True,False,"Thank you, Steve. The Company's businesses turned in a solid start to our new fiscal year in terms of revenue growth, improved profitability andnew business gains in Food and in Specialty Industrial Bioproducts. Both segments reported record revenue in the quarter, driven by volume andnew business gains, better pricing and pass-through of higher corn costs. Operating income was the best quarterly result in over three years. And I am particularly encouraged by the strong revenue gains in segments where we have strategically targeted to grow, food ingredients thatprovide functional properties and health and wellness benefits and specialty clean technology bioproducts for more sustainable industrialapplications. As Steve mentioned, both our Food business and our Industrial Bioproducts grew by more than 40% in the quarter. We are cautiously optimistic in our view on fiscal 2012. First, we are nearing completion of Industrial starch contract negotiations, and expect torealize significant improvement in pricing by the end of our second quarter versus 2011. Second, our ability to manage the wide fluctuations incommodity markets has improved, corn prices and chemical costs remain at elevated levels, and ethanol market dynamics fluctuate constantly.Improved management of these market factors should contribute to more favorable net corn costs, starch margins and ethanol fresh margins. Third, the pacing of commercial success of introducing differentiated, higher-value products and applications has accelerated, and this is animportant element of sustainable profitable growth for Penford.We've committed more resources, both investment capital for specialized equipmentand human capital, to developing technologies and applications that have a measurable impact on the performance of our customers' productsand their cost and use. We expect the strong growth in Food and Specialty Bioproducts to continue into 2012. Lastly, we have reached agreement with our bargaining unit employees at our Cedar Rapids facility to extend the current labor agreement by threeyears through July 2015. The Carolina Starches acquisition is progressing, and we plan to close the transaction shortly. We will provide more information following theclosing of this strategic acquisition. Finally, in addition to our own internal efforts to develop sustainable bioproducts, we continue to evaluate external prospects for partnering todevelop, manufacture and commercialize novel green technologies. We believe that the combination of innovative starch products, flexiblechemical and fermentation processes and our culture of selling highly-specialized bioproducts can create future business opportunities for PENX. To this end, we will soon be formally announcing a joint development agreement with Novomer in which our companies will work cooperativelytoward the creation of novel, high-performance biopolymers that are both sustainable and cost-effective. We thank you for your interest in Penford and please open the call for questions."
3,18608549,PENFORD CORP.,01/09/2012,4:00PM,PENX,Q1 2012 Penford Corp Earnings Conference Call,Operator,NA,NA,True,False,False,"(Operator Instructions) Laurence Alexander, Jefferies."
4,18608549,PENFORD CORP.,01/09/2012,4:00PM,PENX,Q1 2012 Penford Corp Earnings Conference Call,Lucy Watson,Jefferies & Company,Analyst,True,False,False,"Good morning.This is Lucy Watson on for Laurence today. A couple of quick questions on ethanol. It looks like ethanol margins are likely to compressin Q2. Have you taken any measures to offset that, or could you provide a little bit more color on the comments about mitigating the volatility inethanol?"
5,18608549,PENFORD CORP.,01/09/2012,4:00PM,PENX,Q1 2012 Penford Corp Earnings Conference Call,Steve Cordier,Penford Corporation,"SVP, CFO, Asst. Secretary",True,False,False,"Industry crush margins in ethanol have come down in the second quarter of our fiscal year. We had anticipated that and mentioned it on priorconference calls. Since we had looked at that coming toward us, we have taken some hedges where possible, and we expect that while the sequentialquarter-over-quarter comparison will probably dip a bit for Penford, we will probably be in a higher crush margin outcome than most of the currentmarket projections for people who are doing spot ethanol trades."
6,18608549,PENFORD CORP.,01/09/2012,4:00PM,PENX,Q1 2012 Penford Corp Earnings Conference Call,Lucy Watson,Jefferies & Company,Analyst,True,False,False,"Okay, and you also made a comment about the VTEC credit expiration possibly affecting demand in the near term. Since it has been a few dayssince the credit expired, have you seen any difference or fluctuation yet?"
7,18608549,PENFORD CORP.,01/09/2012,4:00PM,PENX,Q1 2012 Penford Corp Earnings Conference Call,Steve Cordier,Penford Corporation,"SVP, CFO, Asst. Secretary",True,False,False,"I think most of the impact -- and those two elements are related, by the way. I think that the drop in anticipated demand is contributing to theprediction of lower crush margins in our second fiscal quarter for the marketplace. We think there is evidence of the beginning of some inventory build as production continues to run, while some of the demand is being takenfrom inventory stores, and that the supply-demand fulcrum is probably going to be tilted a little bit more towards supply for at least the 60 daysfollowing the beginning of the calendar year."
8,18608549,PENFORD CORP.,01/09/2012,4:00PM,PENX,Q1 2012 Penford Corp Earnings Conference Call,Lucy Watson,Jefferies & Company,Analyst,True,False,False,Okay. And a question on liquid natural additives in your other specialty products -- how large a percent of sales are those? Is that the remaining40% that is non-coating? I guess would you be able to provide a breakdown in the Industrial Ingredients segment? And how fast are the specialtyproducts growing?
9,18608549,PENFORD CORP.,01/09/2012,4:00PM,PENX,Q1 2012 Penford Corp Earnings Conference Call,Tom Malkoski,Penford Corporation,"President, CEO",True,False,False,"Let me separate out. I think you have two topics in there.When we refer to the coatings or non-coatings, that really is our Food side of our business."
