,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18590821,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Operator,NA,NA,False,True,False,"Ladies and gentlemen, good afternoon and welcome to the Worthington Industries second quarter earnings results conference call. All participantswill be on listen only until the question and answer session of the call. This conference is being recorded at the request of Worthington Industries.If anyone objects, you may disconnect at this time. I would like to introduce Ms. Cathy Lyttle, Vice President of Corporate Communications and Investor Relations. Ms. Lyttle, you may begin."
1,18590821,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Cathy Lyttle,Worthington Industries,"VP, Corporate Communications and Investor Relations",False,True,False,"Thank you, and good afternoon, everyone. Welcome to our second-quarter earnings conference call. As a reminder, certain statements made on this call are forward-looking within the meaning of the Private Securities Litigation Reform Act of 1995.These statements are subject to risks and uncertainties and could cause actual results to differ from those suggested. Please refer to the Company'ssecond-quarter earnings release issued this morning for more detail on those factors that could cause actual results to differ materially. For anyone interested in listening to this call again, a replay will be available on our website, WorthingtonIndustries.com. On the call today are John McConnell, Chairman and Chief Executive Officer George Stoe, President and Chief Operating Officer Andy Rose, VicePresident and Chief Financial Officer Bob McMaster, Senior Financial Advisor and Richard Welch, Controller. We'll begin with John McConnell."
2,18590821,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,John McConnell,Worthington Industries,Chairman and Chief Executive Officer,False,True,False,"Well thank you, Cathy, and good afternoon to all. We appreciate your joining us today.     Now as you read in our release this morning, I am very pleased with our results this quarter. We have consistently said, coming out of the 2008recession, our expectation was to produce incremental increases on a year-over-year basis. Our second quarter contributed nicely to that expectation. In last quarter's call, I opened referring to a significant shift in our business platform that would result in a transitional gap in revenue and increasedcorporate burden for the remaining companies. This quarter that revenue gap almost closed completely on a year-over-year basis, and goingforward, with the addition of Angus, the revenue gap is more than replaced and the corporate burden will approximate the previous levels incylinders of steel by year-end. Andy will discuss that further. Our two focal points to drive shareholder value will remain the same -- to decrease the volatility of our earnings, or said a better way, to increasethe consistency and stability of our earnings while increasing our overall operating margins. We have made and will continue to make progresstoward these goals, both in how we operate and in our acquisition strategy. Angus is a very welcome addition you'll hear more about that as welltoday. At this point, and going to turn the call over to Andy and George for more detail on the quarter."
3,18590821,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Andy Rose,Worthington Industries,VP and Chief Financial Officer,False,True,False,"Thanks, John. Happy new year, everyone. As you review our financial performance for the quarter and the balance of fiscal 2012, please keep inmind that we are a company undergoing transformation. The goals of this process are simple -- higher margins and free cash flow and morepredictable and higher earnings for our shareholders. To accomplish our goals, we are both changing the way we manage our businesses and changing the mix of our businesses. Evidence of ourprogress is visible in recent quarters. In the fourth quarter of 2011, we took two businesses, [Gerstenslager] and Dietrich Metal Framing, and formed two joint ventures to make themstronger and more profitable. This resulted in the movement of businesses that were generating over $400 million in revenue from our operatingincome to equity income from affiliates. The good news is that this decision appears to have benefited both businesses by making them moreprofitable. However, the resulting corporate overhead allocations from these businesses were redistributed principally to our steel and cylinderssegments, making those segments look somewhat less profitable than they would have otherwise been over the past few quarters. We've also been active in acquiring new businesses -- Bernz in July, STAKO in September, Coleman and Angus in December.This comes with upfrontcosts and requires resources to integrate and realize the full financial benefits. Many of these costs are one time in nature but also serve to reducethe profitability of business segments on a temporary basis. We've also been investing in a few Greenfield businesses, principally through our global construction group, whose operations are included in ourOther segment. We are actively pursuing some large opportunities, much larger than our recent Mozambique project, and we'll continue on thispath to let these opportunities play out. Until then, the upfront investment will exceed the income being generated, and as a result, dampensWorthington's overall performance. We do not intend for these Greenfield businesses to lose money for an extended period of time, but believethe investment today will pay dividends in the future. Unfortunately, during the transition period, as businesses are moved in and out, and reinvestment and reengineering occurs, the true impact ofthe changes in our profitability are difficult to isolate.We will do our best to provide some visibility, but the benefits will only become fully apparentin future reporting periods as results unfold. Now, onto the quarter's results. Despite the slow growth economy, the Company performed reasonably well during the second quarter of fiscal2012. Earnings per share before restructuring of $0.28 were up 47% compared to the prior year. Results included inventory holding losses fromthe decline in steel prices, estimated at $0.09 per share. Inventory holding losses in the prior-year quarter were about $0.11 per share, about onethird of which was attributable to the metal framing business, which is no longer a consolidated entity.     I will now pass the call on to George Stoe, who will discuss operations."
4,18590821,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,George Stoe,Worthington Industries,President and Chief Operating Officer,False,True,False,"Thank you, Andy. Our steel processing business has experienced the normal year-end slowdown in shipments, but we have seen bookings continue into calendar2012 increasing sharply. Several price increases have been initiated from the mills, and there seems to be growing strength in the backlogs for thecoming months. Our inventories and service levels are the best they have ever been. We are currently operating with 57 days of inventory whilestill achieving a 95% on-time delivery performance. There is some concern in the marketplace about the situation about the situation with RG Steel. From our perspective, we had a careful andthoughtful plan that we had in place for several months, with alternative supply options. Regardless of the outcome, we will not be adverselyaffected, since we had backup supply plans for all of the business that we had with them. Our cylinders business is experiencing normal seasonal demand within most product lines. We're actively engaged in the integration process atour new high-pressure cylinders facility in Poland, and our 16-ounce camping cylinder facility in Kansas. We're enthusiastic about both, as Polandadds to our growing position within the alternative fuel segment, and the acquisition of the 16 ounce cylinder facility in Kansas will enable us tobetter serve the rapidly expanding customer base for this product line while continuing under a licensing agreement to produce this productunder the iconic Coleman brand. As many of you know, we also added the BernzOmatic business into the Worthington fold last year. That integration is going well, and we fullyanticipate meeting or exceeding the projections we made when we acquired the business. We recently asked our centers of excellence to begin the transformation process that was so successful in our steel processing business throughoutour cylinders organization.That process is only a few months into its work, and we have already identified opportunities for production efficienciesand cost savings. Our newest acquisition of Angus is a perfect fit for our long-term strategy of acquiring businesses that improve our margins and profitability andare complementary to our core strengths of value-added manufacturing in market leading businesses. During our due diligence process, we met with several of the key customers and came away from that with a deep appreciation for the capabilitiesand market reputation.We met with the employees at all four locations this week and are comfortable that the integration process will be smoothand seamless. We are pleased that the professional and experienced management team we acquired as a result of this acquisition is committedto continuing in their roles.The top four executives have taken a significant portion of the funds they received in Worthington stock to demonstratetheir commitment to this endeavor. The workforce appears to be equally dedicated and enthusiastic about the path forward. Our joint ventures continue to perform at a very high level.WAVE continues with outstanding results in spite of the challenges facing the commercialconstruction market.Their percentage of remodeling work is higher than in the past and has helped to maintain their marketplace strength as newcommercial construction remains weak. The ClarkDietrich JV just finished an outstanding 2011. The consolidation of the two businesses has been completed, and the cost savings weanticipated have exceeded our expectations. Almost all of the non-contributed facilities and assets that Worthington retained have now been soldor are under contract to be sold. Our realizations from these transactions have also exceeded the expectations we originally modeled when weformed the JV. Serviacero continues to grow and expand their presence in the rapidly developing Mexican market for flat rolled steel. Our new pickling there inMonterey is on schedule to be operational by July.     We look forward to calendar 2012 with great anticipation. We have a number of new businesses that we are integrating into the Worthingtonfamily. We believe all of these will continue with our objectives and improving margins, decreasing volatility, increasing our shareholders' value. I will now turn the call back to John McConnell for his closing comments."
5,18590821,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,John McConnell,Worthington Industries,Chairman and Chief Executive Officer,False,True,False,"Well, thank you Andy and George, well done. At this point, we will take any questions that you might have."
6,18590821,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Operator,NA,NA,True,False,False,"(Operator Instructions) Martin Englert, Jefferies & Co."
7,18590821,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Martin Englert,Jefferies & Co,Analyst,True,False,False,"Good afternoon, everyone."
8,18590821,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,John McConnell,Worthington Industries,Chairman and Chief Executive Officer,True,False,False,Hello.
9,18590821,WORTHINGTON INDUSTRIES INC,01/05/2012,6:30PM,WOR,Q2 2012 Worthington Industries Inc Earnings Conference Call,Martin Englert,Jefferies & Co,Analyst,True,False,False,"For Angus Industries can you provide D&A figures for 2011 and where you would expect that going forward? Also, in addition to that, where hasits historical revenue been and EBITDA margins throughout the peak trough and kind of average throughout the cycle?"
