,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18608632,AUGME TECHNOLOGIES INC,01/09/2012,4:00PM,AUGT.OB,Q3 2012 Augme Technologies Inc Earnings Conference Call,Operator,NA,NA,False,True,False,"Welcome to the Augme Technologies third-quarter fiscal 2012 earnings conference call. (Operator Instructions). As a reminder, this conference isbeing recorded January 9, 2012. I would now like to turn the conference over to Stephanie Prince. Please go ahead."
1,18608632,AUGME TECHNOLOGIES INC,01/09/2012,4:00PM,AUGT.OB,Q3 2012 Augme Technologies Inc Earnings Conference Call,Stephanie Prince,"Lippert/Heilshorn & Associates, Inc.",IR,False,True,False,"Thank you, Christy, and welcome, everyone, to the Augme Technologies third-quarter fiscal 2012 earnings conference call for the third quarterended November 30, 2011. With me today are Paul Arena, Chief Executive Officer Ivan Braiker, President Eric Harber, Chief Operating Officer andTom Virgin, Chief Financial Officer. After Paul's opening remarks and Tom's financial review, we will open the call up to your questions. In order to allow everyone the opportunity toask a question, we are asking that you limit yourself to one question and one follow-up. To access the webcast, please visit our website at www.augme.com. Please note that the information presented and discussed today includes forward-looking statements which are made under the Safe Harborprovisions of the Private Securities Litigation Reform Act of 1995. Actual results in future periods may differ materially and you should not attributeuncertainty to our forward-looking statements. Risks and uncertainties that could cause our actual results to differ from those expressed or impliedby forward-looking statements include those set forth in the Risk Factors section of the Annual Report on Form 10-K that we filed on May 13, 2011. In addition, our comments may contain certain non-GAAP financial measures, including non-GAAP operating loss per share. For additionalinformation, including the reconciliation from GAAP results to non-GAAP measures, how the non-GAAP measures provide useful information, andwhy we use non-GAAP measures, please see the reconciliation statements section of our press release, which appears on our website atwww.augme.com. I would now like to urn the call over to Paul Arena. Paul?"
2,18608632,AUGME TECHNOLOGIES INC,01/09/2012,4:00PM,AUGT.OB,Q3 2012 Augme Technologies Inc Earnings Conference Call,Paul Arena,"Augme Technologies, Inc.","Chairman, CEO",False,True,False,"Thank you, Stephanie. Good morning, everyone, and thank you for joining us on today's call.This morning I will open the call with comments aboutour third-quarter performance and give you an update on our patent litigation cases and then turn the call over to Tom Virgin, Augme's CFO, fora financial review of the quarterly results. We'll then open up the call for questions. I will ask Ivan, Eric, and Tom to address questions with me. This has been a very exciting quarter for Augme. Our combination of Augme, Hipcricket and JAGTAG has resulted in a very strong company andhigh recognition in the mobile marketplace. We have a great team in place and that experience is drawing business to us from brands, retailersand agencies. We have completed a combined industry-leading 150,000 mobile campaigns since 2004. Approximately one-third of these were done duringcalendar 2011 alone. We signed a record $6.4 million in new contracts during November and December, over $3.7 million in December alone. Wehave currently signed a backlog of over $15 million. That momentum has continued into the new calendar year. We began this year servicing more than 50 brands and have increased to approximately 300 brands as of last quarter. We currently service 15industry verticals. Our gross margin has increased from 58% in the third quarter of 2011 to 68% in the third quarter of 2012. Our revenue per client was approximately $110,000 on an annualized basis in the third quarter versus approximately $50,000 annualized in thebeginning of this fiscal year. This is over 100% increase in the last nine months. We powered nearly 16,000 campaigns in the quarter. During the quarter, we executed 136 new contracts, which breaks down as follows -- 22% or30 new customers, 57% or 78 up-sells to existing customers, 21% or 28 license renewals to existing customers. Our customer retention rate isapproximately 95%, one of the highest in the mobile marketing space. Our recurring revenues are approximately 60%. We are really excited about the Yahoo! court date coming up in the next year. We are very pleasedthat we picked up the best IP team of Goodwin Procter. We've never deviated that our IP is a very valuable. Looking forward, we have a lot of momentum generating bigger revenues from our clients. We are really excited to have completed a successfulintegration with Hipcricket and JAGTAG and now have a fully integrated sales team, selling exclusively under the Hipcricket brand in the marketplace. We are a premier end-to-end mobile marketing and advertising company in the United States. We have done more mobile marketing campaignsthan any of our competitors.We have a higher CECTM, effective cost per thousand, and produced a more robust post-click engagement with highermargins to it. In the past 18 months, we have grown from 15 employees to now over 140 employees in eight locations across the United States,nearly a tenfold increase. We are excited about our business and we've never been in a stronger position. We've accomplished a lot in a short period. The $20 million capital raise that we recently completed fully funds us to execute our growth plans and reach profitability. Today, the company isbuzzing with activity and energy. We are one company selling under the Hipcricket brand name. We are growing our business and hitting ourgoals. We completed the combination of the sales force and client service organizations under Doug Stovall, who held that same position at Hipcricketwhere he led the company's 225% revenue growth over an 18-month period. We have combined the customer-facing functionality of the Augmeand Hipcricket software as a service technology platforms into a unified horizontal platform named Hipcricket AD LIFE.This best-of-breed platformcurrently serves 15 verticals, including CPG, pharma health, retail, automotive, quick-service restaurants, financial broadcast media and entertainment,to name a few. The combination of the two platforms has resulted in a clearly differentiated offering and provides our clients with best practicesin the industry. This has created efficiencies for them by the platform's ability to scale with their needs and speed their time to market.     Another priority is to build out our enterprise OEM channel to ensure that we are properly staffed in this important area.These partnerships, Oraclebeing one example, will expand our sales reach and facilitate high margin revenue generation. And we will continue to invest in our intellectualproperty portfolio. We view our intellectual property portfolio as a critical component of Augme's overall business model. Our IP is foundational in the area of mobileand Internet marketing technology, including content targeting, device detection and advanced analytic systems. We intend to continue tovigorously defend our portfolio.We're making good progress with our partners at Goodwin Procter on litigation front and ipCapital on the licensingstrategies. In conjunction with ipCapital Group, we've developed a data-driven strategy for further targeted invention and accelerated IP development incalendar 2012. This includes a prototype database of hundreds of new Augme invention concepts. Augme's internal IP developments, the activities of which are complemented by ongoing external patent acquisitions like those we acquired withJAGTAG, the JAGTAG acquisition expanded our patent portfolio to seven patents with over 150 issued claims and 21 pending applications withover 1500 patents, pending claim. This includes three additional patents that have been filed in the last two weeks. Some of the recent developments on the IP front include, last Friday, Judge Spiro set the Yahoo! case to proceed to trial on January 7, 2013. Thiswas an event that we have been long awaiting. The US District Court of New York reactivated Augme's patented and trademark infringement caseagainst AOL, Time Warner and Platform A in December. The pretrial conference has been rescheduled for February 1. We're now waiting for the judge's response to our opposition brief regarding the AOL Dakota case. Last week the US patent office granted Augme'srequest for re-examination of Yahoo!'s patent in question. This is meaningful because we believe our patent predates Yahoo!'s. We believe that our IP portfolio, which is available for licensing, is key to commercial protection of our proprietary technology and to solidifyingour market position. I'd now like to turn the call over to Tom Virgin for a review of the third-quarter financial results."
3,18608632,AUGME TECHNOLOGIES INC,01/09/2012,4:00PM,AUGT.OB,Q3 2012 Augme Technologies Inc Earnings Conference Call,Tom Virgin,"Augme Technologies, Inc.",CFO,False,True,False,"Thank you, Paul. Hi, everyone. I'll start by discussing the results for third quarter of fiscal 2012. For the third quarter which ended November 30, 2011, we reported revenue of $4.4 million, an increase of approximately 418% compared torevenue of $854,000 for the third fiscal quarter last year and an increase of 244% compared to revenue of $1.3 million for the second fiscal quarterthis year, which ended August 31, 2011. The increase in overall revenue resulted primarily from the combined revenues of Augme, Hipcricket, and JAGTAG.These acquisitions closed duringsecond quarter, Hipcricket on August 25, right at the end of the quarter, and Jagtag on July 22. Also contributing to revenue growth was increased spending by existing customers and from adding new customers.To give investors and analystsinsight into our revenue mix, starting this quarter, we will give you a breakdown of revenue into three components. These three are software as aservice revenue mobile advertising solutions revenue and the third category is other licensed mobile products. The third category includesnonrecurring revenue, such as development work for marketing campaigns and shorter-term licenses. For the third quarter, 60% of our revenue came from SaaS licenses, followed by 20% from mobile advertising solutions and 20% in the othercategory.     We also capitalized acquisition-related transaction costs for the Hipcricket and JAGTAG business acquisitions which should have been expensedas incurred. These changes result in an additional transaction expense of approximately $700,000. Turning back to the third quarter income statement, non-cash stock option warrant expense which is included in SG&A totaled $2.7 million for thequarter compared with $615,000 in the same period last year. Last quarter, these non-cash expenses totaled $2 million. We recorded a net loss of $10.5 million or $0.12 per share for the quarter compared to a net loss of $2.6 million or $0.04 per share for the sameperiod last year, and a net loss of $6.2 million or $0.09 per share for the second quarter. Besides the non-cash charges for warrants and stock optionsof $2.7 million for the quarter, we had approximately $1 million of non-cash expense related to the continued consideration and approximately$1 million in one-time costs related to the integration of the companies. As of November 30, 2011, the company's cash balance was $16.9 million.We brought in $19.5 million from the secondary offering and from proceedsfrom the exercise of stock options.We invested approximately $800,000 in patent defense costs.We used $1 million to pay off the note to Hipcricketand spent $4.2 million on operations. All of these factors resulted in an increase in cash of approximately $14 million. I'll now turn the call back over to Paul."
4,18608632,AUGME TECHNOLOGIES INC,01/09/2012,4:00PM,AUGT.OB,Q3 2012 Augme Technologies Inc Earnings Conference Call,Paul Arena,"Augme Technologies, Inc.","Chairman, CEO",False,True,False,"Thanks, Tom. In closing, mobile marketing is moving up the adoption curve, as evidenced by the fact that the companies are now dedicating aseparate line item in the marketing advertising budgets to mobile. More customers like Miller Coors for one example are spending on and committingto multi-year, multimillion dollar contracts. We believe that with our superior patented technology, industry recognition, reputation for quality,reliability, and mobile marketing and advertising expertise, we are ideally suited to take full advantage of the rapid growth of the mobile marketingand advertising industry. I'd now like to open up the call for questions. Operator, please?"
5,18608632,AUGME TECHNOLOGIES INC,01/09/2012,4:00PM,AUGT.OB,Q3 2012 Augme Technologies Inc Earnings Conference Call,Operator,NA,NA,True,False,False,"(Operator Instructions). Ken Nagy, Zacks Investment."
6,18608632,AUGME TECHNOLOGIES INC,01/09/2012,4:00PM,AUGT.OB,Q3 2012 Augme Technologies Inc Earnings Conference Call,Ken Nagy,"Zacks Investment Research, Inc.",Analyst,True,False,False,Just curious what the goal for self-service is eventually? Will it be 50% of revenues? Did you say it was 10% now? Will it eventually be 100% or justif you could speak on that?
7,18608632,AUGME TECHNOLOGIES INC,01/09/2012,4:00PM,AUGT.OB,Q3 2012 Augme Technologies Inc Earnings Conference Call,Paul Arena,"Augme Technologies, Inc.","Chairman, CEO",True,False,False,"Yes, thanks, Ken, for joining us. I think it's going to continue to grow as we scale the business and we open up larger multichannel forms of distributionwith some of the ERP companies, for example, and others that we are discussing with."
8,18608632,AUGME TECHNOLOGIES INC,01/09/2012,4:00PM,AUGT.OB,Q3 2012 Augme Technologies Inc Earnings Conference Call,Ken Nagy,"Zacks Investment Research, Inc.",Analyst,True,False,False,Great. So is the idea for -- it's just to be completely self-service at some point in the future?
9,18608632,AUGME TECHNOLOGIES INC,01/09/2012,4:00PM,AUGT.OB,Q3 2012 Augme Technologies Inc Earnings Conference Call,Paul Arena,"Augme Technologies, Inc.","Chairman, CEO",True,False,False,"I don't think we'll ever be completely self-service, no. We are going to continue to build the business the way we have it today, but to the extentwe can shift some of our SG&A away from the business and revenue share with others, that certainly is a great business model."
