,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18590543,CONSTELLATION BRANDS INC.,01/05/2012,3:30PM,STZ,"Q3 2012 Constellation Brands, Inc. Earnings Conference Call",Operator,NA,NA,False,True,False,"Good morning. My name is Jackie, and I will be your conference operator today. At this time, I would like to welcome everyone to the ConstellationBrands Third Quarter 2012 Earnings Conference Call. All lines have been placed on mute to prevent any background noise. After the speakers'remarks, there will be a question-and-answer session. (Operator Instructions) Thank you. I would now like to turn the conference over to Patty Yahn-Urlaub, Vice President of Investor Relations. Please go ahead."
1,18590543,CONSTELLATION BRANDS INC.,01/05/2012,3:30PM,STZ,"Q3 2012 Constellation Brands, Inc. Earnings Conference Call",Patty Yahn,Urlaub,Constellation Brands Inc,False,True,False,"Thank you, Jackie. Good morning, everyone, and welcome to Constellation's Third Quarter Fiscal 2012 Conference Call. I'm here this morning withRob Sands, our President and Chief Executive Officer, and Bob Ryder, our Chief Financial Officer. This call complements our news release, whichhas also been furnished to the SEC. During this call, we may discuss financial information on a GAAP comparable organic and constant-currency basis. However, discussions willgenerally focus on comparable financial results. Reconciliations between the most directly comparable GAAP measure, and these and othernon-GAAP financial measures are included in the news release, or otherwise available on the Company's web site at www.Cbrands.com under theInvestor section in Financial History. Please also be aware that we may make forward-looking statements during this call. While those statements represent our best estimates andexpectations, actual results could differ materially from our estimates and expectations. For a detailed list of risk factors that may impact theCompany's estimates, please refer to the news release and Constellation's SEC filings. Now I'd like to turn the call over to Rob."
2,18590543,CONSTELLATION BRANDS INC.,01/05/2012,3:30PM,STZ,"Q3 2012 Constellation Brands, Inc. Earnings Conference Call",Rob Sands,Constellation Brands Inc,President and CEO,False,True,False,"Thanks, Patty. Good morning, and happy new year to everyone. I hope you all had a great holiday, and the opportunity to enjoy some of our fineproducts throughout the season. Welcome to our discussion of Constellation's third quarter fiscal 2012 sales and earnings results. We continued to progress through the year withresults that are generally in line with our expectations for most areas of the business. I'm especially pleased with our significantly improved consolidated margin structure, and our continued progress in the area of free cash flowgeneration, which has essentially enabled us to fund our share repurchase efforts, where we have already completed more than 50% of our currentauthorization. Our top line performance for the quarter was not surprising, as we continued to lap last year's third-quarter US distributor inventory build. As areminder, our shipments to distributors last year exceeded distributors' sales to retail as part of our US distributor transition initiative. This had theeffect of benefiting our sales and profits for fiscal 2011, but created a sales and EBIT comparison challenge for fiscal 2012. Now, despite these sales trends, our US wine and spirits depletions improved sequentially during the third quarter, with the entire portfolio growingalmost 2%, and focus brands growing about 6%. As previously discussed, we expected our depletion trends to improve as we progressed throughthe year due to the gating of the promotional spend for our US wine and spirits businesses. This year, we are driving enhanced promotional and merchandising activity in the second half to better align with the seasonality of our business.As such, you can see in the IRI data coinciding with our third quarter, that we gained volume share for total table wine and the premium plussegment, which represents the greater than $5 retail price point. This channel accounts for about 35% of our business. And our spirit sales remainrobust as we gained share, driven by our SVEDKA vodka brand. However, growth for our total US wine portfolio continues to lag that of the overall US wine category on a year-to-date basis through the thirdquarter. Our US wine share loss for this time period can be primarily attributed to a decline in value brands below the $5 retail price point, as weincreased net prices for some of our higher volume value brands, such as Vendange and Arbor Mist. As would be expected, this action negativelyimpacted volumes, but to a bit greater degree than we originally anticipated. So, what are we doing about this market share issue? We are in the process of revamping up innovation and new product development, where wecurrently have more than 20 new product launches underway in fiscal 2012, many of which are included in hot categories that are experiencingsignificant growth. We currently have strong momentum for many of our newly launched products, like Primal Roots, a sweet red blend, Rex Goliath Moscato, RuffinoProsecco, Woodbridge Malbec, and the Simply Naked unoaked line of varietals. Our most recent introduction to the new product line-up is the Dreaming Tree brand a collaboration between Steve Reeder, our award-winningwinemaker at Simi, and acclaimed musician Dave Matthews, that is receiving rave reviews. This collection of new products is gaining traction, and performed very well in the marketplace during the holiday selling season. And next year,in fiscal 2013, we expect to have an increasing percentage of our sales growth coming from innovation. As I mentioned earlier, from a depletion perspective, during the third quarter our focus brands grew almost 6%, with several brands growing doubledigits, including SVEDKA vodka, Black Box, Rex-Goliath, and Kim Crawford, just to name a few. However, the previously mentioned price increase on Arbor Mist has reduced our Focus brands' growth rate somewhat. To mitigate this, we haveintroduced Arbor Mist Pomegranate Berry Pinot Noir, which is doing very well in the marketplace, and we recently launched Arbor Mist StrawberryMoscato at Walmart.     Throughout calendar 2011, Crown achieved several milestones, and has received recognition from some of the most notable beer and marketingchannels in the industry, including the following.This is the first year that Crown Imports has been named to Advertising Age's prestigious MarketerA list. This is the second consecutive year that Corona Extra has been named one of the best global brands by Interbrand. Modelo Especial won an ImpactHot Brands award, and an Impact Blue Chip Award, with Corona Light winning a Blue Chip Award from Impact as well. Modelo Especial and Victoriaeach received Cheers growth brand awards, and Victoria also received a Market Watch Leader's Choice award in the best new product segment.These awards highlight the continuing success of the brand portfolio, and underscore Crown's unique approach to marketing. Overall, calendar 2011 was the largest volume year for the collection of Modelo brands in the US. Throughout the remainder of the year, Crown isfocused on market execution, and optimizing promotional and marketing initiatives. Some examples include the continued expansion of the Corona Familiar 32-ounce bottle, primarily in Mexican and Hispanic markets throughoutthe US. Launched in the US in calendar 2010, Corona Familiar had strong depletions in calendar 2011. Victoria will expand to select cities withinthose states where it is already available. In addition, new packaging configurations are being introduced for the brands in existing markets. Victoria already ranks as a top import, and islarger than many national distributed competitors in the import category. Crown continues to expand its draft offerings for the Pacifico, Negra Modelo, Modelo Especial, and Victoria brands, which are doing extremely wellin existing markets. Year to date through the third quarter, Crown's depletions for its draft offerings increased 60% versus the same period lastyear. Now, in closing, we believe we are in good shape to deliver our financial objectives for the year. Even though we may fall a bit short of our depletiongoals for our US wine business, we have solid promotional programs in place designed to drive continued improvement in these trends throughoutthe remainder of the year. I would now like to turn the call over to Bob Ryder for our financial discussion of our third quarter business results."
3,18590543,CONSTELLATION BRANDS INC.,01/05/2012,3:30PM,STZ,"Q3 2012 Constellation Brands, Inc. Earnings Conference Call",Bob Ryder,Constellation Brands Inc,EVP and CFO,False,True,False,"Thanks, Rob. Good morning, everyone. The quarter came in essentially in line with our Q2 earnings call discussion. Our free cash flow is runningahead of expectations, and we've increased our free cash flow guidance for the year. As it relates to earnings guidance for the year, we're maintaining our comparable-basis EPS goal of $2 to $2.10 provided at Q2, which is essentiallythe guidance provided at the beginning of the year, exclusive of the benefits from reduced shares and reduced tax rates. For Q3, our comparable-basis diluted EPS came in at $0.50, versus $0.66 last year. The majority of the EPS decrease was driven by a 17% decline incomparable-basis EBIT.This EBIT result was in line with the expectations we outlined last quarter, and was driven primarily by three items, all relatedto overlaps of events which occurred in fiscal 2011. These include the overlap of the Q3 fiscal 2011 distributor inventory build from our US wine and spirits distributor consolidation initiative theoverlap of the Q3 fiscal 2011 distributor inventory replenishment, combined with incremental marketing funding at Crown and the divestiture ofthe Australia and UK wine business. We've generated $587 million of free cash flow for the first nine months of the year, $287 million more than the same period last year. Due to thisexcellent performance, we've increased our fiscal 2012 free cash flow target by $100 million to a range of $700 million to $750 million, an all-timehigh at Constellation.     Now, let's discuss free cash flow, which we define as net cash provided by operating activities, less CapEx. For the first nine months of fiscal 2012,we generated free cash flow of $587 million, versus $299 million for the same period last year. This improvement primarily reflects a reduced useof cash to fund receivables and a cash benefit for taxes. Our receivable balance increased less than the previous year due to timing of sales, and the sale of our Australia and UK business. As a reminder, in Q1 we received a net refund of taxes, primarily related to the Q4 fiscal 2011 sale of our UK business. As mentioned earlier, we're increasing our fiscal 2012 free cash flow target by $100 million, to a range of $700 million to $750 million. The increaseis primarily due to the expected realization of additional cash tax benefits from the sale of our UK business that were previously targeted for fiscal2013. We're also reducing our CapEx estimate by $15 million to a range of $70 million to $80 million. As previously discussed, we believe our sustainablefree cash flow is in the $500 million-plus range. Now, let's move to our full-year fiscal 2012 P&L outlook. As noted earlier, we continue to expect comparable basis diluted EPS to be in the rangeof $2 to $2.10, versus our $1.91 result in fiscal 2011. This includes the estimated $0.06 benefit for share re-purchases, which is consistent with ourprevious guidance. As outlined by Rob, we now expect depletions for our US wine and spirits business to come in a bit below the market trend, and our planned targetfor the full year. We expect the corresponding shortfall in sales volume to be somewhat offset by some mix benefits and cost reductions. We'vealso reduced our interest expense guidance. For Crown, we continue to target low- to mid-single-digit depletion growth for the year, and flat to slightly down operating earnings due to theincremental marketing funding. I would also like to highlight a few Q4 fiscal 2012 comparison items for you. For our North American business, we're facing an easier shipmentcomparison for Q4, as the inventory build during fiscal 2011 was effectively completed by the end of Q3. We are also expecting lower promotionalexpense, and some additional mix benefit in Q4 versus Q4 last year. For Crown, in Q4 we expect an improvement in sales growth, and marketing spend to moderate, versus the higher levels experienced in Q2 andQ3 of this fiscal year. Overall, the good news is that the beer business continues to drive growth in a difficult category, and we're seeing improving depletions andmarketplace trends for our wine and spirit business, as our focus brands are performing better, and our new product development initiatives aregaining traction. Our strong free cash flow generation and deleveraging efforts have created flexibility in our capital structure management. This flexibility has enabled us to buy back a significant number of shares, as we have repurchased $281 million of stock through Q3, which is ontop of the $300 million we re-purchased in the last fiscal year. We expect to continue to evaluate share re-purchases as an opportunistic basis, aspart of our ongoing efforts to optimize the capital structure of the business. With that, we're happy to take your questions."
4,18590543,CONSTELLATION BRANDS INC.,01/05/2012,3:30PM,STZ,"Q3 2012 Constellation Brands, Inc. Earnings Conference Call",Operator,NA,NA,True,False,False,"(Operator Instructions) Kaumil Gajrawala, UBS."
5,18590543,CONSTELLATION BRANDS INC.,01/05/2012,3:30PM,STZ,"Q3 2012 Constellation Brands, Inc. Earnings Conference Call",Kaumil Gajrawala,UBS,Analyst,True,False,False,"Hi, everybody, good afternoon. If I could start maybe and see if you can quantify for us the impact that Arbor Mist and Vendage had on your overallfocus brand depletions."
6,18590543,CONSTELLATION BRANDS INC.,01/05/2012,3:30PM,STZ,"Q3 2012 Constellation Brands, Inc. Earnings Conference Call",Rob Sands,Constellation Brands Inc,President and CEO,True,False,False,"Yes. It actually had quite a significant impact and if we stripped out just those two brands, we would have gained share in the overall category,wine category, for the quarter. That really has been a big driver of our overall market share loss in total wine. Now if you look at just table wine, we did gain share in the quarter, and if you look at premium plus, we gained share in the quarter, too. I mentionthat because clearly, the premium plus category above $5 is our primary focus."
7,18590543,CONSTELLATION BRANDS INC.,01/05/2012,3:30PM,STZ,"Q3 2012 Constellation Brands, Inc. Earnings Conference Call",Kaumil Gajrawala,UBS,Analyst,True,False,False,"Got it. And then also just a follow-up on quantification. Is there any way for you to give us some context on what growth may have been onshipments, excluding the inventory build from -- at Crown last year?"
8,18590543,CONSTELLATION BRANDS INC.,01/05/2012,3:30PM,STZ,"Q3 2012 Constellation Brands, Inc. Earnings Conference Call",Bob Ryder,Constellation Brands Inc,EVP and CFO,True,False,False,"Yes, this is Bob, Kaumil. I don't think we can get into that kind of detail."
9,18590543,CONSTELLATION BRANDS INC.,01/05/2012,3:30PM,STZ,"Q3 2012 Constellation Brands, Inc. Earnings Conference Call",Kaumil Gajrawala,UBS,Analyst,True,False,False,"Okay. No problem.Then just clarifying something on your guidance for Crown.You said improved sales growth and marketing spend to moderate.Just want to understand, because was that from a depletions perspective, or is that from a shipments perspective. Also, was the increased volumelast year in 4Q also the replenishment of the supply issues?"
