,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18595681,IHS INC,01/06/2012,1:00PM,IHS,Q4 2011 IHS Inc Earnings Conference Call,Operator,NA,NA,False,True,False,"Good day, ladies and gentlemen. And welcome to the fourth quarter 2011 IHS Inc. earnings conference call. My name is Lacey and I'll be yourcoordinator for today. At this time all participants are in listen-only mode. Later, we will facilitate a question-and-answer session towards the endof the presentation. (Operator Instructions). As a reminder, this conference is being recorded for replay purposes. I would now like to turn the presentation over to your host for today's call, Mr. Andy Schultz, Vice President of Investor Relations. Please proceed."
1,18595681,IHS INC,01/06/2012,1:00PM,IHS,Q4 2011 IHS Inc Earnings Conference Call,Andy Schulz,IHS Inc.,VP IR,False,True,False,"Thank you, Lacey. Good morning and thank you for joining us for the IHS fourth quarter and fiscal 2011 earnings conference call. We issued ourEarnings Release and a supplemental presentation earlier this morning. If you do not have the release and the presentation, we issued today, youwill find copies of them on our website at IHS.com. Some of our comments and discussions on the quarter are based on non-GAAP measures. Our non-GAAP or adjusted numbers include stock-basedcompensation and other non-cash charges and other items. Our Earnings Release includes both our GAAP-based income statement and statementof cash flows, and reconciliations to the non-GAAP measures discussed during this call. These reconciliation schedules can also be found on ourweb site. The non-GAAP results are a supplement to the GAAP financial statements. IHS believes this non-GAAP presentation and the eliminationof these items is useful in order to focus on what we deem to be a more reliable indicator of ongoing operating performance.     As a reminder this conference call is being recorded and Webcast. And is the copyrighted property of IHS. Any rebroadcast of this information inwhole or in part without the prior written consent of IHS is prohibited. Please keep in mind that this conference call, especially the discussion of our outlook, may contain statements about expected future events thatare forward-looking and subject to risks and uncertainties. Factors that could cause actual results to differ and vary materially from expectationscan be found in IHS's filings with the SEC and on the IHS website. With that, it is my pleasure to turn the call to Jerre Stead, IHS Chairman and CEO. Jerre?"
2,18595681,IHS INC,01/06/2012,1:00PM,IHS,Q4 2011 IHS Inc Earnings Conference Call,Jerre Stead,IHS Inc.,"Chairman, CEO",False,True,False,"Thank you, Andy. Good morning, welcome, and a very happy New Year to all of our investors and to my IHS colleagues. It is a great pleasure thismorning to share with you our outstanding results from the fourth quarter and for the full year of 2011. Before I do, I must begin with a real heart-feltthank you to my IHS colleagues around the world. The performance I'm about to share with you is the direct result of the outstanding teamworkand collaboration displayed by each of my colleagues. I'm very proud to be part of this team. I'll start with the quarterly financial highlights. Revenue was up 27% in the fourth quarter. Adjusted EBITDA increased by 33%. And our adjustedEBITDA margin was 32.1%, the highest in our Company's history. The absolute dollar levels for Q4 revenue and profit were both Company records.Q4 proved to be exactly what we thought it would be, accelerating organic growth on the top line, accompanied by meaningful margin expansion. Our fourth quarter performance is a fitting capstone on a year characterized by focus and performance. In early November of 2010, we shared ourvision for what we would accomplish in 2011. Since then, the world has seen many economic events that certainly have presented challenges forbusinesses around the world. Despite these global economic challenges, we actively managed IHS to ensure that we continued to make the rightinvestment decisions to drive strong, profitable growth and to deliver ever-better insight, information, and analytics to our customers around theglobe every day. Therefore, I am proud to share with you these annual results. Revenue was up 25%. Adjusted EBITDA increased by 26%. And our adjusted EBITDA margin was 30.2%, up from last year, despite the significantlevels of investment in infrastructure that we've made during 2011. This performance is the direct outcome of the following. A clear vision of whatwe're building. An intense focus on the four objectives we set for ourselves this year. And relentless execution while adapting our priorities tochanging market conditions throughout the year. Scott Key, our President and COO, and Rich Walker, our EVP and CFO, will provide more detailsshortly. As you know, we have four Company objectives. Colleague success, customer delight, profitable top and bottom line growth, and share ownersuccess relative to our peer group. Execution of these objectives drove solid results. The foundation of this performance is the engagement of ourcolleagues and the level of customer delight. During 2011, 97% of our colleagues participated in our annual engagement survey, providing us witha clear view of actions and experiences that most affect our commitment and performance at IHS. Our colleague engagement score for 2011 was59%. And represents a recalibration of our baseline with a new third-party survey firm that offers an excellent set of analytics and benchmarks aswe move to a new level of excellence. We have achieved world-class performance in a number of important areas, including the value colleagues derive from their work. And the freedomof flexibility they have in delivering value to our customers. Importantly, we saw best-in-class levels in impact that our colleagues are having withcustomers as a result of increased colleague collaboration at IHS in creating value. We also achieved best-in-class levels in our focus on customers.This not only correlated to our financial performance. It's tied to the highest level of customer delight since we launched this critical effort five yearsago. This year, thousands of IHS customers provided their feedback and we were pleased with the results. Here are the highlights. Most global companies are scoring flat to down this year but we achieved a 4 point improvement to reach 63% customer delight. All three of ourregions improved. 100% of our product areas showed improved customer delight. Because we achieved our improvement target, we awarded toeach of our colleagues 50 IHS restricted stock units.This represents approximately $18 million in value.The shares will vest over the next 12 months.     We award shares because the incentive directly drives the behavior we want and the results we enjoy. For example, in the fourth quarter wedelivered the highest level of subscription-based organic growth in 10 quarters. These results are directly connected to our overall performance. And highlight the shareholder value we create in connecting colleague andcustomer metrics to shareholder returns for our stock-based incentives. We've driven substantial value for shareholders since our IPO, with acompounded annual return of 32%, well above that of our peers and the overall market.This is a clear reflection of our focus on long-term profitablegrowth and our share-based incentive programs that directly link every IHS colleague to key customer metrics and financial performance. Now, switching gears, we previously discussed the importance of strategic partnerships to our market growth and for new channel development.We continue to create the right partnerships to drive our long-term profitable growth. I'm pleased to announce that IHS has signed a strategicalliance agreement with IBM. This agreement will enable us to help clients meet complex enterprise sustainability management, ESM, challengesby leveraging our combined strengths to provide the content, software and expertise that our customers need.This alliance is another step forwardin leveraging the growing opportunities in enterprise sustainability. By offering IHS content and systems, in combination with IBM's expertise intechnology implementation and integration, we will make it easier for our clients to turn traditional information management burdens intocompetitive advantages. Organizations throughout the IHS and IBM customer base will have the opportunity to benefit from this new alliance.We're pleased that IBM has recognized the importance of the ESM market and our technology leadership in that space. Let me wrap up with brief updates on our two major infrastructure projects,Vanguard and Newton.We've had another great success in the roll-outof Vanguard. On December 5, we went live with the second release.This release included a significant part of our finance organization and customercare in EMEA and Americas.With the successful implementation, approximately 40% of our business is now being processed through the Vanguardsystem. In addition to the roll-out of Vanguard, our EMEA and Americas finance and customer care Centers of Excellence are now operational. And ourAPAC Center of Excellence opened December 5 and will continue to grow with the needs of our business. My many thanks and congratulationsto the Vanguard team, to our finance and customer care teams, and to all other colleagues from across the Company who have worked diligentlyto ensure we remain on schedule. It's rare for any Company to smoothly implement a global ERP, not to mention implementing a change that isreplacing 40-plus legacy systems in countries all over the world. In parallel, we've gone live with our SFA world-wide, including our automated commission system. I am very grateful for this very impressiveexecution. Our current plan calls for substantially all of our finance and lead-through-cash systems to be migrated over to Vanguard by the end of2012. And we are right on track with that goal. Another high priority initiative to support our multi-year growth strategy is Project Newton, whichis addressing the issue of our multiple data centers and content management and delivery system.We're making great progress here as we eliminateredundant activities and shut down legacy data systems. With that, it's my pleasure to turn the call over to Scott."
3,18595681,IHS INC,01/06/2012,1:00PM,IHS,Q4 2011 IHS Inc Earnings Conference Call,Scott Key,IHS Inc.,"President, COO",False,True,False,"Thanks, Jerre. I will give you an overview of our growth and progress during Q4 that helped to deliver the performance for the year, provide someoverarching thoughts about the strategic development of the business as we close 2011 and look to 2012, and finally, a brief update on SMT andintegration efforts. Q4 was a quarter of improving profitable growth for IHS. And a clear, well-executed step toward achieving our long-term profitable growth goals.Just about any way you look at the results, we saw solid growth in operational performance. Overall we delivered 9.4% organic growth for thequarter and we delivered 8.7% for the full year. Absent the Boiler Pressure Vessel Code recall in Q3 2010, we had to try a new release of the BPVC,an engineering standard. All organic figures mentioned hereafter have been normalized to exclude the BPVC, as applicable. Our organic growthperformance marks positive acceleration sequentially and year on year.     And our financial results reflect this. We are ahead of our initial projections. And we enjoyed roughly 50% margins during our first full quarter ofownership. My sincere thanks to our SMT colleagues and all of those involved in the integration efforts for a job well done. Keep up the great work. So, before I hand the call over to Rich, let me wrap up 2011 by saying we had a very good year. We enter 2012 with momentum, despite theheadwinds all of us are experiencing on the macroeconomic front. Our own experts do continue to view the macro climate soberly. We use theirwisdom to plan for the future and it is reflected in our guidance. Now let me hand the call over to Rich."
4,18595681,IHS INC,01/06/2012,1:00PM,IHS,Q4 2011 IHS Inc Earnings Conference Call,Rich Walker,IHS Inc.,"EVP, CFO",False,True,False,"Thank you, Scott. I'll provide an overview of our results and an update to our 2012 annual guidance. Let's start with revenue. Fourth quarter 2011revenue increased 27% to $371 million.The growth in revenue includes 9.4% organic growth, 17% growth from acquisitions, and virtually nothingfrom currency fluctuations. The organic growth on subscriptions was 9.1% in the fourth quarter. And subscriptions accounted for 74% of revenueduring the quarter.This rate of organic growth is a sequential increase since the prior quarter, and lifted us to 8.7% organic growth for the full year.On the non-subscription businesses, they also performed well, growing at 10.4% organically. Consulting had a terrific quarter, growing 16%organically, where we saw strong demand for our offerings, particularly in energy, autos and chemicals. Looking at regional and domain performance, revenue growth was robust and broad-based as Americas grew revenue 23% all-in, with EMEA andAPAC growing 26%, and 49%, respectively. In terms of performance, EMEA was particularly notable. Its subscription business grew organically inthe low double digits for the quarter. It is really impressive performance in light of the broader economy. Relative to revenue performance bydomain, energy continues to be the stalwart performer. Energy was 45% of total revenue and was up 38% all-in for the quarter. Energy remainsstrong across most every offering and in all three geographies. And grew organically at strong double-digit rates. Product life cycle was 31% of revenue, and increased 23% for the quarter. PLC benefited from the fourth quarter 2010 acquisition of iSuppli, whichgrew at a double-digit organic growth rate during the quarter. Security was 8% of revenue, up 2% all-in for the quarter. Solid subscription performancewas partially offset by lower non-subscription results due to timing of sales. Environment was 8% of overall revenue, up 31% all-in for the quarter.Environment benefited from acquisitions and solid organic growth.The remaining 7% of revenue is in our macroeconomic capabilities, which wereup 8% all-in for the quarter, almost all of which was organic growth. Turning now to profit and margins. Fourth quarter adjusted EBITDA totaled $119 million, up 33% from a year ago.To put this in context, this is onlythe second time in our Company's history we've generated more than $100 million in adjusted EBITDA in a single quarter. And up almost $20million sequentially from the third quarter. Our adjusted EBITDA margin improved, as expected, and was 32.1% in the fourth quarter. This is a 150basis point increase over last year. Strong organic revenue growth, combined with good cost control, added about 120 basis points of marginexpansion in the quarter. The remaining 30 basis points came from acquisitions. FX had virtually no impact to margins during the quarter. Moving down the P&L, adjusted EPS increased 24% to a record $0.99 per diluted share in the fourth quarter. Regarding segment profitability,Americas adjusted EBITDA increased 27% to $86 million. While EMEA's adjusted EBITDA was up 29% to $32 million. And APAC's adjusted EBITDAgrew 60% to $15 million. The reported GAAP tax rate for the fourth quarter of 2011 was affected by the fourth quarter implementation of ourpension strategy. Excluding this impact, the tax rate was 24.2%. Looking at the balance sheet, we ended the quarter with $235 million of cash, and$803 million of debt. Deferred revenue at the end of the fourth quarter was $487 million, which represents a year-over-year increase of $95 millionor 24%. Turning to cash flow. We generated $89 million of cash flow from operations and $80 million of free cash flow in the fourth quarter. In fiscal 2011,we generated $288 million of free cash flow. And our ratio of free cash flow to adjusted EBITDA was 72%. As these measures suggest, we continuedto generate strong cash flow despite higher levels of investment in the business. One last item before I get to our 2012 guidance update. As I mentioned on our call in November, during 2011 we undertook a comprehensivereview of our US pension plan, designed to ensure we maintain market competitive employee benefits while decreasing volatility. I am pleased to     report we have completed our review. We have been proactive in our actions and believe we have made prudent business decisions with respectto these plans that position us well on a go-forward basis. Many plan sponsors have employed similar steps to better manage their pension programs. These steps resulted in a one-time settlement of retiree pension obligation, a change to our pension plan investment strategy, a change in ourpension accounting policy, and an accelerated funding of plan contributions. It is not our intention to discuss these actions in detail on this call.Alternatively, we have compiled a slide deck which explains in greater detail our objective, the steps we have taken, and their impact. This deck isposted on our website and also furnished earlier today to the SEC.We encourage you to review these materials. And should you have any questions,please give us a call to discuss further. Now let's go to 2012 guidance. Our guidance is on an all-in basis and assumes no further acquisitions, currency movements, mark-to-market pensionadjustments, or unanticipated events. For 2012, we expect all-in revenue in a range of $1.5 billion to $1.55 billion, including 7% to 10% organicgrowth for the full year. All-in adjusted EBITDA in a range of $480 million to $495 million. Depreciation and amortization expense to approximate$112 million. Net interest expense of roughly $17 million. Adjusted EPS between $3.84 to $4.01 per diluted share. Stock-based compensationexpense to approximate $115 million to $120 million. And adjusted tax rate of approximately 27% to 28%. And fully diluted shares to be approximately67 million. A couple of additional items to note regarding guidance. As you consider our quarterly profit progression for 2012, remember that due to theseasonality in our business, Q1 revenue and adjusted EBITDA tend to be lower sequentially relative to the fourth quarter. In fact, Q1 is traditionallyour lowest quarter of the year for both revenue and adjusted EBITDA, both in terms of absolute dollars and as a percent of the annual totals.Moreover, this trend has been amplified going forward by the product mix from our 2011 acquisition and the recent pension strategy implementation.To illustrate this point, please see the last slide in the supplemental deck posted to our website which shows our 2011 quarterly profit distribution,adjusted as if we had made an $8 million pension expense similar to 2012. This slide highlights the fact the fourth quarter represented 30% of our2011 adjusted profit, whereas the first quarter represented 21%. Last, we expect CapEx in 2012 to remain relatively flat to 2011 levels. Importantly, we expect CapEx to decrease as a percent of revenue from 4.1%in 2011, to about 3.5% in 2012. Over the long run, we generally expect CapEx to annually represent between 3% to 4% of revenue. In summary,we saw accelerating top-line organic growth, a resumption of meaningful overall margin expansion, and robust cash flow. With that, let me turn the call back over to Jerre."
5,18595681,IHS INC,01/06/2012,1:00PM,IHS,Q4 2011 IHS Inc Earnings Conference Call,Jerre Stead,IHS Inc.,"Chairman, CEO",False,True,False,"Thank you, Rich. That's a wrap on 2011. A remarkable year for IHS. We enter 2012 with great momentum and are looking forward to capitalizingon the many opportunities we have in front of us. Scott, Rich and I are ready to answer your questions. So let's start with the Q&A."
6,18595681,IHS INC,01/06/2012,1:00PM,IHS,Q4 2011 IHS Inc Earnings Conference Call,Operator,NA,NA,True,False,False,(Operator Instructions). Suzi Stein with Morgan Stanley.
7,18595681,IHS INC,01/06/2012,1:00PM,IHS,Q4 2011 IHS Inc Earnings Conference Call,Suzi Stein,Morgan Stanley,Analyst,True,False,False,"You saw a nice improvement in organic revenue growth. But how much of it is attributed to bringing in acquisitions that anniversaried, and movingunder-performing businesses to Discontinued Operations? What I'm trying to figure out is how did the underlying business perform if you wereto comp it to Q3 growth?"
8,18595681,IHS INC,01/06/2012,1:00PM,IHS,Q4 2011 IHS Inc Earnings Conference Call,Jerre Stead,IHS Inc.,"Chairman, CEO",True,False,False,"That's a good question, Suzi. Scott would look forward to answering that."
9,18595681,IHS INC,01/06/2012,1:00PM,IHS,Q4 2011 IHS Inc Earnings Conference Call,Scott Key,IHS Inc.,"President, COO",True,False,False,"Sure would. Suzi, we actually saw very broad and solid organic performance across the business. And I'll give you a few examples. We gave you theregion numbers where you saw positive growth. Our subscription base really trended up and positively across the globe. In Americas, we saw aseries of areas of double-digit organic growth in automotive, the transportation sector, our core economics offerings, and our offerings inmanufacturing and design and energy technical. We saw really positive improvement in our strategically managed accounts that drove organicgrowth higher. And we saw that in all regions, real good progress, 3 to 5 percentage points of additional, above our average organic growth in strategically managedaccounts in the Americas, EMEA and APAC. And then the other point of growth driver, as you heard, Latin America, 20%-plus, and of course, APAC,20%-plus. So, really strong fundamentals. And I think the other point to mention is that was matched, regardless of organic or inorganic onacquisitions. Acquisitions in general delivered about 16% year-on-year growth on average. So, we really saw solid performance everywhere."
