,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18588388,PIEDMONT NATURAL GAS CO.,01/04/2012,3:00PM,PNY,Q4 2011 Piedmont Natural Gas Earnings Conference Call,Operator,NA,NA,False,True,False,"Good day, and welcome to the Piedmont Natural Gas year-end 2011 conference call. Today's conference is being recorded. At this time, I wouldlike to turn the conference over to Mr. Nick Giaimo. Please go ahead, sir."
1,18588388,PIEDMONT NATURAL GAS CO.,01/04/2012,3:00PM,PNY,Q4 2011 Piedmont Natural Gas Earnings Conference Call,Nick Giaimo,Piedmont Natural Gas,IR,False,True,False,"Thank you, Jennifer. Good morning, everyone, and thank you for joining the Piedmont Natural Gas year-end 2011 earnings conference call. This call is open to the general public and is being webcast live over the Internet. If you would like to access the webcast of this call or view theslides of the accompanying presentation, please visit our website at PiedmontNG.com and choose the for investors link. On the right-hand side ofthat page, you will find the appropriate links. On the call today presenting prepared remarks, we have Tom Skains, President, Chairman, and Chief Executive Officer and Karl Newlin, Senior VicePresident and Chief Financial Officer. Other officers of the Company are also in attendance to take your questions. During the prepared remarks and in the accompanying presentation, references are made to certain non-GAAP items. A reconciliation to GAAP isavailable at the end of the presentation. And finally, this call may include forward-looking statements and our actual results may materially differ from those statements. More informationabout the risks and uncertainties relating to these forward-looking statements may be found in Piedmont's 2011 Form 10-K filed with the SEC onDecember 23. And with that, I will turn the call over to Tom."
2,18588388,PIEDMONT NATURAL GAS CO.,01/04/2012,3:00PM,PNY,Q4 2011 Piedmont Natural Gas Earnings Conference Call,Tom Skains,Piedmont Natural Gas,"Chairman, President, CEO",False,True,False,"Thanks, Nick, and good morning, everybody, and thank you for joining us for our year-end 2011 earnings conference call. I know many of you arejust getting back into the office after the holidays, and we appreciate you taking the time to be with us today. As you know, we filed our 2011 10-K and issued our year-end earnings release on December 23. This morning, I'm going to begin on slide two andtalk about our 2011 accomplishments and provide you with a general update on the Company. Then I'll turn it over to Karl to give a more detaileddiscussion of our 2011 financial results and our 2012 guidance. I'm extremely proud of our team's accomplishments in 2011. During another year of continuing economic challenges, we were able to deliver netincome of $114 million and diluted earnings per share of $1.57, towards the upper end of our guidance range. While the housing market has     Slide six demonstrates how our consistent financial performance allows us to reward our shareholders. In 2011, our Board raised the dividend forthe 33rd consecutive year.We remain committed to long-term shareholder value, and our Board understands the importance of a growing dividendto our shareholders. Before I turn the call over to Karl, you've probably noticed a press release we issued last month announcing that Victor Gaglio will join our executivemanagement team next month as our new Senior Vice President and Chief Utility Operations Officer. Victor is currently Senior Vice President ofOperations with NiSource Gas Transmission & Storage. He will be replacing Michael Yount, who announced his intention to retire at the end of February. Michael has been a valued member of our teamover the last six years and we wish him nothing but the best in his retirement. Like Michael, Victor has a wealth of experience in utility operations, having over 30 years of experience in natural gas pipeline, compression, andstorage operations with NiSource and Columbia Gas Transmission. So while we will miss Michael, we are excited to have someone of Victor's caliberjoin our team. With that, I'd now like to turn the call over to our Senior Vice President and Chief Financial Officer, Karl Newlin. Karl?"
3,18588388,PIEDMONT NATURAL GAS CO.,01/04/2012,3:00PM,PNY,Q4 2011 Piedmont Natural Gas Earnings Conference Call,Karl Newlin,Piedmont Natural Gas,"SVP, CFO",False,True,False,"Thank you, Tom, and good morning, everyone. As Tom mentioned, we had a great year in 2011 with net income of $114 million and diluted earnings per share of $1.57.This was a 2% improvementfrom last year when you exclude the one-time gain from our sale of a portion of SouthStar in 2010. As a reminder, a reconciliation to GAAP earnings can be found on the last slide of the presentation. As for the details of the income statement, let's start with slide seven. Margin of $574 million increased nearly 4% compared to 2010, due to increasedvolumes and services to industrial and power generation customers, residential and commercial customer growth, net gas cost adjustments andincreased wholesale marketing activity. On the expense side, slide eight, O&M of $225 million was 2.5% higher than last year, due to higher vehicle and transportation expense, a regulatorydisallowance of certain Tennessee franchise fees that led to a one-time charge, and higher materials expense. Slide nine shows depreciation expense of $103 million and general taxes of $38 million, up 4% and 13%, respectively. The increased depreciationwas due to growth in utility investment and plant in service. Higher general taxes were a function of the accrual for and payment of sales tax oncertain customer accounts, as well as higher property taxes in our jurisdictions. On slide 10, income from joint ventures was $24 million in 2011, 17% lower than in 2010, due primarily to a lower ownership percentage of SouthStarduring the entire fiscal year of 2011. Due to the timing of the sale, the first quarter of 2010 had a 30% ownership in SouthStar, while the first quarterof 2011 represented our current 15% ownership. All other income statement categories tracked along their normal trends. Finally, on slide 11, we've outlined our 2012 earnings guidance of $1.58 to $1.68 per share that we reaffirmed in our December 23 earnings release.Our guidance range assumes gross customer additions of 1% the Wayne County project being in service on June 1, 2012 a $3.1 million margindecrease under the South Carolina Rate Stabilization Act, or RSA and a 9% increase in O&M expense. Capital expenditures are expected to bebetween $540 million and $600 million, with $240 million to $280 million associated with our power generation delivery projects. $70 million to$80 million will be related to transmission and pipeline integrity expenditures. On the financing side, we anticipate issuing $300 million of long-term debt during the third quarter. We will also repurchase common shares tooffset issuances from our DRIP and other stock-based programs. We do not anticipate the need to issue any equity in 2012.     With that, I will turn the call back over to Nick."
4,18588388,PIEDMONT NATURAL GAS CO.,01/04/2012,3:00PM,PNY,Q4 2011 Piedmont Natural Gas Earnings Conference Call,Nick Giaimo,Piedmont Natural Gas,IR,False,True,False,"Thank you, Karl. Jennifer, we are now ready to open the call to questions."
5,18588388,PIEDMONT NATURAL GAS CO.,01/04/2012,3:00PM,PNY,Q4 2011 Piedmont Natural Gas Earnings Conference Call,Operator,NA,NA,True,False,False,"(Operator Instructions). Dan Fidell, US Capital Advisors."
6,18588388,PIEDMONT NATURAL GAS CO.,01/04/2012,3:00PM,PNY,Q4 2011 Piedmont Natural Gas Earnings Conference Call,Dan Fidell,US Capitol Advisors,Analyst,True,False,False,"Good morning and Happy New Year to all. Just a couple of questions on my side, I guess.The first, I was wondering if you could talk a little bit aboutthe trends you're seeing from the income from equity investments line, excluding SouthStar.You went into some detail in the presentation materialon SouthStar, but just specifically on Pine Needle and Hardy, I noticed Pine Needle's numbers fell down a bit, Hardy's numbers came up a bit. Canyou talk just a little bit about what's kind of moving those numbers and where you see things going into the next year?"
7,18588388,PIEDMONT NATURAL GAS CO.,01/04/2012,3:00PM,PNY,Q4 2011 Piedmont Natural Gas Earnings Conference Call,Karl Newlin,Piedmont Natural Gas,"SVP, CFO",True,False,False,"Yes, sure, Dan. It's Karl. Overall, the joint venture has continued to perform very well. You mentioned Pine Needle specifically. It's down about $1million because they had a rate case implemented that reduced their rates at Pine Needle by FERC during our fiscal 2011, and that reduced thepretax net income by about $1 million. I'd expect some CapEx at Pine Needle in future periods. But all that, of course, is baked into our guidancefor 2012. Hardy continues to perform very well, and then I think you know, on the Cardinal side there should be some increase, just given the CapEx and theexpansion there to serve the Wayne plant."
8,18588388,PIEDMONT NATURAL GAS CO.,01/04/2012,3:00PM,PNY,Q4 2011 Piedmont Natural Gas Earnings Conference Call,Dan Fidell,US Capitol Advisors,Analyst,True,False,False,"Okay, great. Maybe just, then, second question on the O&M guidance for 2012, up 9%. Can you just discuss the drivers for the increase in O&M inthe next year?"
9,18588388,PIEDMONT NATURAL GAS CO.,01/04/2012,3:00PM,PNY,Q4 2011 Piedmont Natural Gas Earnings Conference Call,Karl Newlin,Piedmont Natural Gas,"SVP, CFO",True,False,False,"Yes, sure. It's -- O&M is up largely, although not entirely, from nondiscretionary items -- for example, higher pension expense from a lower discountrate is driving our FAS 87 expense, we have higher medical costs due to higher claims in 2011, and we're going to have higher amortization fromexpected recovery of the deferred Tennessee pension asset. Now that has a revenue offset to it, but in the O&M category, that's a higher expenseitem. There was also some other expenses related to the implementation of systems and IT as it relates to pipeline integrity. I think one way to think about that -- I don't want to get into predicting the individual components of O&M too much, but if you think about theincrease of 9%, I think about it as about a third from the benefits category about 25% from an other category, which would be amortization of thedeferred pension expense, etc. and then about 40% is from an increase in payroll from merit adjustments, etc."
