,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18608689,THERAVANCE INC,01/09/2012,1:30PM,THRX,THERAVANCE INC GSK and Theravance Announce Initial Outcomesfrom Pivotal Phase III Studies for Once,Operator,NA,NA,False,True,False,"Ladies and gentlemen, good morning. At this time I would like to welcome everyone to the Theravance conference call. During the presentation all participants will be in a listen-only mode. A question-and-answer session will follow the Company's formal remarks.(Operator Instructions) Today's conference call is being recorded. Now I would like to turn the call over to Mike Aguiar, Senior Vice President and Chief Financial Officer. Please go ahead, sir."
1,18608689,THERAVANCE INC,01/09/2012,1:30PM,THRX,THERAVANCE INC GSK and Theravance Announce Initial Outcomesfrom Pivotal Phase III Studies for Once,Mike Aguiar,"Theravance, Inc.",SVP & CFO,False,True,False,"Good morning, everyone, and thank you for joining us as we announce the global filing timeline for Relovair and discuss the completion of thePhase 3 registration program in patients with chronic obstructive pulmonary disease, or COPD. We will also be discussing the asthma pivotalprogram. As a supplement to today's call, we have posted slides on our website that can be accessed during the call. With me today is Rick Winningham, our Chief Executive Officer, and Mathai Mammen, Senior Vice President of Research and Early Clinical Development.We have prepared a few brief remarks and then we will open it up for questions. A copy of the press release and slide presentation can be downloadedfrom our website, or you can call investor relations at 650-808-4100 and we will be happy to assist you. Before we get started we would like to remind you that this conference called contains forward-looking statements regarding future events andthe future performance of Theravance. Forward-looking statements include anticipated results and other statements regarding Theravance's goals,expectations, strategies, and beliefs. These statements are based upon the information available to the Company today and Theravance assumes no obligation to update thesestatements as circumstances change. Future events and actual results could differ materially from those projected in the Company's forward-lookingstatements.     Additional information concerning the factors that could cause results to differ materially from our forward-looking statements are described ingreater detail in the Company's Form 10-Q filed with the SEC. I will now turn the call over to Rick Winningham, our Chief Executive Officer. Rick?"
2,18608689,THERAVANCE INC,01/09/2012,1:30PM,THRX,THERAVANCE INC GSK and Theravance Announce Initial Outcomesfrom Pivotal Phase III Studies for Once,Rick Winningham,"Theravance, Inc.",Chairman & CEO,False,True,False,"Good morning, everyone. Thank you for joining us. I would like you to turn your attention to the first slide after the Safe Harbor statement in theslide deck. We are pleased to announce that earlier this morning GSK and Theravance issued a release announcing a decision to commence regulatory filingsin Europe and the US for COPD and the EU for asthma in mid-2012. We also announced that given the data in the program with -- asthma data inthe program with GSK, GSK intends to continue their discussions with FDA regarding the asthma package.The release also announces the completionof the Phase 3 registrational program for Relovair in COPD and all but one of the studies in asthma. The release provides a top-line summary of all Phase 3 studies completed to date.The six-month COPD studies were omitted because top-line datawere previously communicated last June. These studies collectively represent the largest initial registration package of an inhaled respiratorymedicine for the treatment of these debilitating diseases completed to date. With the release today, we now have reported data for Phase 3 studies that enrolled approximately 11,000 patients. GSK and Theravance believethat the overall results from these studies show that Relovair, dosed once a day, demonstrated improvements in lung function and reductions inexacerbations in both COPD and asthma. In addition, GSK plans to begin additional clinical work to investigate the potential effects of Relovair inreal-world effectiveness studies. As a reminder, Relovair is an inhaled combination treatment comprised of a once-daily corticosteroid fluticasone furoate and a once daily long-actingbeta agonist, vilanterol, currently under development for both COPD and asthma. The Phase 3 pivotal program in COPD consists of five studiesand approximately 6,000 patients. In asthma the Phase 3 pivotal program consists of seven studies and approximately 5,000 patients. In addition to the pivotal studies, GSK is conducting a 16,000 patient outcome study, real-world effectiveness studies that I mentioned earlier, andhead-to-head comparator studies as a part of a comprehensive Phase 3b program. Given the large number of studies being reported today, itwould be impossible to review the top-line results from each one on a single conference call. As a result, we will focus our prepared remarks onthe two COPD exacerbation studies and the asthma exacerbation study. Since the data disclosed from these studies only constitute a fraction of the overall dataset, I would like to note that both programs were designedto be evaluated in their entirety to formulate a complete view of the safety and effectiveness of Relovair and its components. I would also like tonote that, consistent with GSK communication policies, we are only announcing filing timeline and providing high-level results from these studiesat this time as GSK will be presenting full results from all the studies in the Phase 3 programs in future scientific forum. Now turning to the studies. I will be reviewing the two COPD studies.Then I will turn the call over to Mathai who will review the asthma study. NowI like you to turn to the next slide, Relovair with GSK Phase 3a in COPD. The two COPD exacerbation studies were double blind parallel group studies that each randomized approximately 1,620 patients with moderateto severe COPD. Patients received either vilanterol alone or one of three doses of Relovair. The studies were designed with a primary efficacyendpoint comparing the annual rate of moderate to severe exacerbations in patients receiving one of three doses of Relovair versus patientsreceiving vilanterol. In both studies Relovair at all doses demonstrated reductions in the annual rate of moderate to severe exacerbations compared with vilanterolalone. In the first study the reductions were statistically significant at all doses. At the 200/25 dose the p-value is 0.001, at the 100/25 microgramdose the p-value to 0.024, and at the 50/25 micrograms dose the p-value was 0.040.     In the second study the reductions were not statistically significant at the highest dose. The p-values in the study were p=0.109 at the 200/25microgram dose, p=0.001 at the 100/25 microgram dose, and p=0.181 for the 50/25 dose.The 50/25 dose demonstrated the smallest effect in bothstudies. All doses of Relovair in both studies demonstrated numerical increases in lung function compared with vilanterol, but not all increaseswere statistically significant. From a technical statistical perspective, the hierarchal testing plan limits strict statistical interpretation of the second study as the 200/25 microgramdose did not demonstrate statistical significance in the second study. Despite this, GSK and Theravance believe it is appropriate to request thatregulatory authorities review the totality of the exacerbation data. GSK believes that the overall weight of evidence from these studies, as well as the program overall, demonstrate that Relovair provided a reductionin COPD exacerbation rate at the 100/25 microgram dose for patients with moderate to severe COPD versus vilanterol alone. As a reminder, the efficacy of vilanterol as a bronchodilator was demonstrated in six-month studies that were announced in June.The 100/25 dosewill be the focus of GSK's global submission for COPD.The most common adverse events for patients receiving Relovair included nasal pharyngitis,upper respiratory tract infection, oral candidiasis, headache, COPD, back pain, pneumonia, bronchitis, and sinusitis. GSK is investigating reports of fatal pneumonia on the Relovair arms, primarily at the 200/25 micrograms dose. Also, an integrated safety andtolerability analysis is underway to evaluate overall safety across the program. We are encouraged by the overall outcomes from the two Phase 3exacerbation studies and the dataset generated in the COPD program more broadly. Based upon these results, GSK again intends to commencethe global registration process with the 100/25 microgram dose of Relovair later this year. We have also seen some exciting data from the asthma exacerbation study, and I would now like to turn the call over to Mathai to discuss theresults of the asthma exacerbation study. Mathai?"
3,18608689,THERAVANCE INC,01/09/2012,1:30PM,THRX,THERAVANCE INC GSK and Theravance Announce Initial Outcomesfrom Pivotal Phase III Studies for Once,Mathai Mammen,"Theravance, Inc.","SVP, Research and Early Clinical Development",False,True,False,"Thank you very much, Rick, and good morning, everyone. Please turn to the third slide after the Safe Harbor side. The asthma exacerbation study was the largest study in the asthma program and had treatment periods ranging up to 76 weeks. It was a double-blind,parallel group study that randomized approximately 2,000 patients -- 1,000 in each arm -- with moderate to severe asthma. Patients were randomizedone-to-one and received either 100 micrograms of FF alone or Relovair 100/25. This was an event-driven study with a primary efficacy endpoint comparing the time to persevere exacerbation for patients receiving Relovairversus patients receiving FF alone.That is, we are testing a hypothesis that the addition of vilanterol to FF provides value to the patient by reducingthe number of asthma exacerbations. We powered this study for superiority. A severe asthma exacerbation is defined here as deterioration of asthma requiring the use of systemic corticosteroids for at least three days or aninpatient hospitalization or emergency department visit due to asthma that requires systemic corticosteroid. In addition to evaluating exacerbation,this study evaluated the contribution of vilanterol to the effectiveness of Relovair on lung function as a key secondary endpoint. We are pleased to report that this study demonstrated that patients receiving Relovair had statistically significant improvements in both time tofirst severe exacerbation with p-value of 0.036 and in the annual rate of severe exacerbations with a p-value of 0.014. This is an important findingand clearly shows the benefit of adding a long acting beta agonist to an inhaled corticosteroid on an important outcome measure like exacerbations. In addition, we are pleased to report that this study also demonstrated a statistically significant improvement in lung function of 125 microgramsversus 100 micrograms of FF at all predefined time points over the 76-week period with a p-value less than 0.001.The most frequent adverse eventswere headache, nasal pharyngitis, upper respiratory tract infection, bronchitis, cough or pharyngeal pain, and influenza.     There were no asthma-related deaths in this study. An integrated safety and tolerability analysis is underway to evaluate the overall safety acrossthe program. We are highly encouraged by the data from this Phase 3 asthma exacerbation study as well as the overall data set generated in the full asthmaprogram. Based upon these results, GSK intends to commence the EU registration process in mid-2012. In the US, GSK will continue discussionswith the FDA on regulatory requirements for a US asthma indication. I would like to now turn the call back over to Rick for a few closing remarks. Rick?"
4,18608689,THERAVANCE INC,01/09/2012,1:30PM,THRX,THERAVANCE INC GSK and Theravance Announce Initial Outcomesfrom Pivotal Phase III Studies for Once,Rick Winningham,"Theravance, Inc.",Chairman & CEO,False,True,False,"Thanks, Mathai.We believe that the totality of data across both the COPD and asthma programs support the plan to submit to regulatory agenciesfor mid-2012, a great step forward for Theravance and GSK. While we have only discussed three exacerbation studies during this call, today's release and the June release included results covering all but oneof the registration all programs. We are pleased to have reached this important milestone for Relovair. With one exception in the 12-week salmeterol VI asthma study, each study provides components necessary and supportive for the US EU filings.These data are quite new to us. We have seen top-line analysis and additional analyses are underway to support regulatory filings by GSK. Aspreviously noted, GSK will present more complete data sets at future scientific and medical meetings. Relovair is the lead program of our three late-stage respiratory programs with GSK. What is next in respiratory? The remaining Phase 3b programfor Relovair, some of which will be finished this year, and then the LAMA/LABA Phase 3 registrational program for COPD. Data from this LAMA/LABAPhase 3 program are projected to report before the end of 2012. The MABA Phase 2b clinical study was recently completed and we expect to update you in the near future. We believe that together these threeprograms have the potential to address the needs of a wide range of COPD and asthma patients suffering from debilitating disease. In addition to our programs with GSK, Theravance has a number of significant pipeline products that are being developed internally in a numberof therapeutic areas. We are excited about 2012 and look forward to bringing you further updates later this year. Now I would like to turn the call over to the conference facilitator and open the call for questions."
5,18608689,THERAVANCE INC,01/09/2012,1:30PM,THRX,THERAVANCE INC GSK and Theravance Announce Initial Outcomesfrom Pivotal Phase III Studies for Once,Operator,NA,NA,True,False,False,"(Operator Instructions) Ronny Gal, Bernstein."
6,18608689,THERAVANCE INC,01/09/2012,1:30PM,THRX,THERAVANCE INC GSK and Theravance Announce Initial Outcomesfrom Pivotal Phase III Studies for Once,Ronny Gal,Sanford Bernstein,Analyst,True,False,False,"Good morning, everybody, and thank you for having this call today. First question is really about the pneumonia cases. Can you tell a little bit moreabout those? How do they compare to similar pneumonia-adverse events in other trials? It's a generally [class phenomena], but did you have morethan were visible in other trials?"
7,18608689,THERAVANCE INC,01/09/2012,1:30PM,THRX,THERAVANCE INC GSK and Theravance Announce Initial Outcomesfrom Pivotal Phase III Studies for Once,Mathai Mammen,"Theravance, Inc.","SVP, Research and Early Clinical Development",True,False,False,This is Mathai. The data are relatively new to us so we are still in evaluation mode. What we are aware of right now were that we see no unusualincidence of pneumonia relative to other products. The fatal pneumonias that we reported were predominantly at the high dose.
8,18608689,THERAVANCE INC,01/09/2012,1:30PM,THRX,THERAVANCE INC GSK and Theravance Announce Initial Outcomesfrom Pivotal Phase III Studies for Once,Ronny Gal,Sanford Bernstein,Analyst,True,False,False,"Second question, regarding the [exacerbation] trials, do you actually meet the statistical requirements on the FPRP? Two exacerbation trials forsubmission essentially since your second trial, at least nominally failed. Is that -- does that not negate the entire program? Can you give us a littlebit more of your initial perspective here?"
9,18608689,THERAVANCE INC,01/09/2012,1:30PM,THRX,THERAVANCE INC GSK and Theravance Announce Initial Outcomesfrom Pivotal Phase III Studies for Once,Rick Winningham,"Theravance, Inc.",Chairman & CEO,True,False,False,"Sure and, no, I don't believe that it negates the entire program because of the strength of evidence around the effect, particularly at the 100/25microgram dose of Relovair. In the case of Relovair, we guessed that increasing the dose of the steroid would reduce exacerbations compared with vilanterol because of a, atthe time, relatively limited understanding of the drug effect. As the data indicate, the drug had a consistent effect across both studies in reductionand exacerbations being most predominant in both studies really at the 100/25 microgram dose. So I think we are quite confident in the exacerbationdata in the COPD studies."
