,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18607812,WILLIAM MORRISON,01/09/2012,9:00AM,MRW.L,Wm Morrison Supermarkets P L C Christmas Trading Update ConferenceCall,Operator,NA,NA,False,True,False,"Welcome to the Morrison post-Christmas sales update conference call. (Operator Instructions). Later we will conduct a question and answer session.Please note that this conference is being recorded. I will now turn the call over to your host, CEO Dalton Philips. Sir, you may begin."
1,18607812,WILLIAM MORRISON,01/09/2012,9:00AM,MRW.L,Wm Morrison Supermarkets P L C Christmas Trading Update ConferenceCall,Dalton Philips,Morrison Supermarkets Plc,CEO,False,True,False,"Thank you and good morning, everybody. Sorry we're starting a little bit late. The lines are incredibly busy so we're just trying to get most peoplein, although there's still a large number trying to get in but I'm going to start anyway. So joining on this call this morning is Richard Pennycook, and we're going to be talking about the pre-close trading update for the six weeks toJanuary 1. Today we'll focus solely on our sales performance over the Christmas period, so hopefully this will be a fairly straightforward call. At our prelims inMarch we'll update you on our progress with our various initiatives and outline our plans for the future. As you will have seen from the release, we traded well during a tough Christmas period. A record 800,000 additional customers shopped with useach week this Christmas, with our sales over Christmas now over 40% higher than they were just five years ago. Before taking your questions, let me set the scene. You will recall that when we started this year, we expected 2011 to be challenging. It certainlyturned out that way, and Christmas has been no exception. Consumer confidence continues to be very low. For December, the GfK NOP reading dipped to minus 33. And let me remind you that in the 37years the index has been running it, it has only been lower on two occasions, a single month in 1990, and eight months during the trough of the2008/2009 recession. Against this backdrop, we are pleased to have delivered sales in line with the market. And most importantly, we provided our customers with thehigh quality food at the value prices they needed this Christmas.     There were some notable sales patterns this year which were indicative of the market conditions. We saw Christmas coming later. Clearly, it alwaysfalls on the 25th, but we have seen the percentage of sales in the final seven days rise by more than one-quarter over the last two years. As customers shop later, we also saw them take advantage of our fresh offer for their traditional favorites.There was a 3% swing from frozen turkeyto fresh turkey, with an overall 9% growth in the number of whole fresh turkeys sold. So overall, we were pleased to achieve a good like-for-like sales uplift over the Christmas period. We've a strong program already in place forJanuary, including our free shopping campaign and the introduction of our new M Savers range. And as you will have seen, we are on track todeliver our full-year profit expectations. I'm also pleased to say that we're making good progress on our strategic initiatives, and we'll be talking about that in a couple of months' time atour prelims. So now let's move to your questions. Operator?"
2,18607812,WILLIAM MORRISON,01/09/2012,9:00AM,MRW.L,Wm Morrison Supermarkets P L C Christmas Trading Update ConferenceCall,Operator,NA,NA,True,False,False,"Thank you. We will now begin the question and answer session. (Operator Instructions). Jonathan Pritchard, Oriel Securities."
3,18607812,WILLIAM MORRISON,01/09/2012,9:00AM,MRW.L,Wm Morrison Supermarkets P L C Christmas Trading Update ConferenceCall,Jonathan Pritchard,Oriel Securities,Analyst,True,False,False,"A couple from me, if I may. Firstly on inflation, could you just give us a clue as to how that moved in the period whether that came down a littlebit? And secondly, not necessarily just for Morrison but for the sector, for the industry as a whole, what would a realistic level of like-for-like growth beto expect for 2012 do you think?"
4,18607812,WILLIAM MORRISON,01/09/2012,9:00AM,MRW.L,Wm Morrison Supermarkets P L C Christmas Trading Update ConferenceCall,Richard Pennycook,Morrison Supermarkets Plc,CFO,True,False,False,"Good morning. It's Richard. I'll take those. We don't, as you know, break out inflation specifically, but we've talked about the fact that in the run-into Christmas, it was still pretty stubborn. It was around -- what we saw though was a very promotional Christmas with some record weeks in termsof promotional participation helping just to take the edge off those inflationary pressures for the customer. As far as 2012 is concerned, a bit like the conversation we had this time last year.We're expecting overall market growth levels to be pretty subdued,and that's how we're planning our business."
5,18607812,WILLIAM MORRISON,01/09/2012,9:00AM,MRW.L,Wm Morrison Supermarkets P L C Christmas Trading Update ConferenceCall,Dalton Philips,Morrison Supermarkets Plc,CEO,True,False,False,"And Jonathan, just to add some color on that, you obviously saw the petrol prices coming down. We've started to see some movements there inproteins produce. And, obviously, non-food was very deflationary over the Christmas period."
6,18607812,WILLIAM MORRISON,01/09/2012,9:00AM,MRW.L,Wm Morrison Supermarkets P L C Christmas Trading Update ConferenceCall,Jonathan Pritchard,Oriel Securities,Analyst,True,False,False,Okay. Thank you very much.
7,18607812,WILLIAM MORRISON,01/09/2012,9:00AM,MRW.L,Wm Morrison Supermarkets P L C Christmas Trading Update ConferenceCall,Operator,NA,NA,True,False,False,"Jaime Vazquez, Santander."
8,18607812,WILLIAM MORRISON,01/09/2012,9:00AM,MRW.L,Wm Morrison Supermarkets P L C Christmas Trading Update ConferenceCall,Jaime Vazquez,Santander,Analyst,True,False,False,"I missed the first minute, so apologies if this has been mentioned, but can you confirm that you will reach your 600,000 square feet opening programthis year?"
9,18607812,WILLIAM MORRISON,01/09/2012,9:00AM,MRW.L,Wm Morrison Supermarkets P L C Christmas Trading Update ConferenceCall,Dalton Philips,Morrison Supermarkets Plc,CEO,True,False,False,It's Dalton. We will. We'll confirm that.
